"","Df","SumOfSqs","R2","F","Pr(>F)"
"Region",5,19.686120476169,0.713415443857208,64.190530814049,1e-04
"Rain",1,0.290239887729467,0.0105181525522127,4.73192584575456,0.0279
"Depth",1,0.0734359022730935,0.0026612814281328,1.19726219125421,0.2768
"Residual",123,7.54439256962441,0.273405122162446,NA,NA
"Total",130,27.594188835796,1,NA,NA
