"","Df","SumOfSqs","R2","F","Pr(>F)"
"RegionNew",2,10.5177880768517,0.488213646537355,56.7010350270057,1e-04
"Rain",1,0.016580248207779,0.000769620321199437,0.1787670996062,0.694
"Depth",1,0.0648085985387219,0.00300827911613862,0.698761866838292,0.4118
"Residual",118,10.9442357840328,0.508008454025306,NA,NA
"Total",122,21.543412707631,1,NA,NA
