"","ID","Sample.Plate","Species","Region","Site","CollectionDate","Season","Rain","Depth","Symbiodinium","Breviolum","Cladocopium","Durusdinium","dom","background","totalSym","use","count","X"
"40","nmfs_014","Sample 10_UrbanPopgen_Plate05_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Jan","Winter","Dry",6.7,0,0.524210135,0,0.475789865,"B","",1,"y",1,NA
"41","nmfs_017","Sample 12_UrbanPopgen_Plate05_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Jan","Winter","Dry",6.4,0,0.709063462,0,0.290936538,"B","",1,"y",1,NA
"42","nmfs_036","Sample 1_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.4,0,1,0,0,"B","",1,"y",1,NA
"43","nmfs_037","Sample 2_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.1,0,0.8770116,0,0.1229884,"B","",1,"y",1,NA
"44","nmfs_038","Sample 3_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.4,0,0.808910077,0,0.191089923,"B","",1,"y",1,NA
"45","nmfs_041","Sample 4_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.4,0,0.999740564,6.98554e-05,0.000189581,"B","CD",1,"y",1,NA
"46","nmfs_043","Sample 5_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Feb","Winter","Dry",6.4,0,1,0,0,"B","",1,"y",1,NA
"47","urban_076","Sample 6_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.3,0,0.006841608,0,0.993158392,"D","B",1,"y",1,NA
"48","urban_077","Sample 7_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.6,0,0.373409767,0,0.626590233,"D","",1,"y",1,NA
"49","urban_080","Sample 8_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.3,0,0.996266994,0,0.003733006,"B","D",1,"y",1,NA
"50","urban_081","Sample 9_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.6,0,0,6.29789e-05,0.999937021,"D","C",1,"y",1,NA
"51","urban_082","Sample 10_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.6,0,0,0.000179172,0.999820828,"D","C",1,"y",1,NA
"52","urban_084","Sample 11_UrbanPopgen_Plate06_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",7.9,0,0,1.79123e-05,0.999982088,"D","C",1,"y",1,NA
"53","nmfs_005","Sample 1_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Jan","Winter","Dry",6.7,0,0.970304826,0,0.029695174,"B","D",1,"y",1,NA
"54","nmfs_046","Sample 2_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",5.2,0,0.999274056,4.71666e-05,0.000678777,"B","CD",1,"y",1,NA
"55","nmfs_048","Sample 3_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",5.5,0,0.001696953,0,0.998303047,"D","B",1,"y",1,NA
"56","nmfs_051","Sample 4_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",5.2,0,1,0,0,"B","",1,"y",1,NA
"57","nmfs_052","Sample 5_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",5.2,0,0.567462757,2.91644e-05,0.432508078,"B","C",1,"y",1,NA
"58","nmfs_053","Sample 6_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","21-Feb","Winter","Dry",6.1,0,0.00563731,1.79977e-05,0.994344692,"D","BC",1,"y",1,NA
"59","urban_091","Sample 7_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.6,0,0.994739559,9.81816e-05,0.005162259,"B","CD",1,"y",1,NA
"60","urban_093","Sample 8_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0,0,0,1,"D","",1,"y",1,NA
"61","urban_094","Sample 9_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.9,0,0.837888831,0.025784004,0.136327164,"B","C",1,"y",1,NA
"62","urban_095","Sample 10_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.9,0,0.389320778,0,0.610679222,"D","",1,"y",1,NA
"63","urban_096","Sample 11_UrbanPopgen_Plate08_7-3-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.9,0,0.976735008,0.023264992,0,"B","C",1,"y",1,NA
"64","urban_099","Sample 2_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.3,0,0,0,1,"D","",1,"y",1,NA
"65","urban_100","Sample 3_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0,1,0,0,"B","",1,"y",1,NA
"66","urban_101","Sample 4_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0,0.624641299,0,0.375358701,"B","",1,"y",1,NA
"67","urban_102","Sample 5_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0,0.999471046,0,0.000528954,"B","D",1,"y",1,NA
"68","urban_105","Sample 6_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.2,0,0,0.016346225,0.983653775,"D","C",1,"y",1,NA
"69","urban_106","Sample 7_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5,0,0.930902136,1.49827e-05,0.069082882,"B","CD",1,"y",1,NA
"70","nmfs_031","Sample 8_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",0.9,0,0,0,1,"D","",1,"y",1,NA
"71","nmfs_032","Sample 9_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",1.5,0,0,0,1,"D","",1,"y",1,NA
"72","nmfs_033","Sample 10_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",0.9,0,0.000229449,0,0.999770551,"D","B",1,"y",1,NA
"73","nmfs_034","Sample 11_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",1.2,0,0.001076605,0,0.998923395,"D","B",1,"y",1,NA
"74","nmfs_035","Sample 12_UrbanPopgen_Plate09_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Jan","Winter","Dry",0.9,0,0.00065865,0,0.99934135,"D","B",1,"y",1,NA
"75","nmfs_066","Sample 1_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",1.2,0,0,0,1,"D","",1,"y",1,NA
"76","nmfs_067","Sample 2_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",1.2,0,0,0,1,"D","",1,"y",1,NA
"77","nmfs_068","Sample 3_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",0.9,0,0,0,1,"D","",1,"y",1,NA
"78","nmfs_069","Sample 4_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",1.2,0,0,0,1,"D","",1,"y",1,NA
"79","nmfs_070","Sample 5_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",1.2,0,0,0,1,"D","",1,"y",1,NA
"80","nmfs_075","Sample 6_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","MacArthur North","21-Feb","Winter","Dry",0.9,0,0,0,1,"D","",1,"y",1,NA
"81","nmfs_056","Sample 7_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",1.5,0,0,0,1,"D","",1,"y",1,NA
"82","nmfs_058","Sample 8_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",1.2,0,0.002352818,0,0.997647182,"D","B",1,"y",1,NA
"83","nmfs_063","Sample 9_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",1.5,0,0.001556744,0,0.998443256,"D","B",1,"y",1,NA
"84","nmfs_064","Sample 10_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",0.6,0,0,2.42586e-05,0.999975741,"D","C",1,"y",1,NA
"85","nmfs_065","Sample 11_UrbanPopgen_Plate10_7-5-23_data.csv","Ofav","Miami urban","Star Island","21-Feb","Winter","Dry",1.2,0,0,0,1,"D","",1,"y",1,NA
"86","urban_019","Sample 1_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"87","urban_021","Sample 2_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"88","urban_144","Sample 3_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0.999196049,0.000428485,0.000375465,"B","CD",1,"y",1,NA
"89","urban_145 rex","Sample 4_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"90","urban_153","Sample 5_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"91","urban_159 rex","Sample 6_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"92","urban_160 rex","Sample 7_UrbanPopgen_Plate11_7-6-23_data.csv","Ofav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"93","urban_085","Sample 8_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami reef","Emerald Reef","22-Oct","Fall","Wet",8.2,0,0,0,1,"D","",1,"y",1,NA
"94","urban_098","Sample 9_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.6,0,1,0,0,"B","",1,"y",1,NA
"95","urban_314","Sample 10_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami reef","Rainbow Reef","23-Jun","Summer","Wet",4.9,0,0.003257436,0.000190028,0.996552536,"D","BC",1,"y",1,NA
"96","urban_251","Sample 11_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.5,0,0,0,1,"D","",1,"y",1,NA
"97","urban_252","Sample 12_UrbanPopgen_Plate11_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.4,0,0,0,1,"D","",1,"y",1,NA
"98","urban_253","Sample 1_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.5,0,0,0,1,"D","",1,"y",1,NA
"99","urban_254","Sample 2_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.5,0,0,0,1,"D","",1,"y",1,NA
"100","urban_256","Sample 3_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.1,0,0.002580332,0,0.997419668,"D","B",1,"y",1,NA
"101","urban_257","Sample 4_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.1,0,0,0,1,"D","",1,"y",1,NA
"102","urban_258","Sample 5_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.8,0,0,0,1,"D","",1,"y",1,NA
"103","urban_259","Sample 6_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1,0,0.000117601,0,0.999882399,"D","B",1,"y",1,NA
"104","urban_261","Sample 7_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.1,0,0,0,1,"D","",1,"y",1,NA
"105","urban_262","Sample 8_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.2,0,0,0.000818205,0.999181795,"D","C",1,"y",1,NA
"106","urban_263","Sample 9_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1.5,0,0,0,1,"D","",1,"y",1,NA
"107","urban_264","Sample 10_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",1,0,0,0,1,"D","",1,"y",1,NA
"108","urban_265","Sample 11_UrbanPopgen_Plate12_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.6,0,0,0,1,"D","",1,"y",1,NA
"109","urban_266","Sample 1_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.7,0,0,0.000496495,0.999503505,"D","C",1,"y",1,NA
"110","urban_267","Sample 2_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.6,0,0,0,1,"D","",1,"y",1,NA
"111","urban_268","Sample 3_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.6,0,0,0,1,"D","",1,"y",1,NA
"112","urban_113","Sample 4_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0,0,1,"D","",1,"y",1,NA
"113","urban_114","Sample 5_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0,0,1,"D","",1,"y",1,NA
"114","urban_117","Sample 6_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0,2.0459e-05,0.999979541,"D","C",1,"y",1,NA
"115","urban_118","Sample 7_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0.016839745,0,0.983160255,"D","B",1,"y",1,NA
"116","urban_119","Sample 8_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0,0.001424217,0.998575783,"D","C",1,"y",1,NA
"117","urban_121","Sample 9_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0,0,1,"D","",1,"y",1,NA
"118","urban_122","Sample 10_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0,0.000366957,0.999633043,"D","C",1,"y",1,NA
"119","urban_174","Sample 11_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0.00031416,0.99968584,"D","C",1,"y",1,NA
"120","urban_175","Sample 12_UrbanPopgen_Plate13_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.3,0,0.034812605,0,0.965187395,"D","B",1,"y",1,NA
"121","urban_176","Sample 1_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.3,0,0,0,1,"D","",1,"y",1,NA
"122","urban_180","Sample 2_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.2,0,0,9.39793e-05,0.999906021,"D","C",1,"y",1,NA
"123","urban_182","Sample 3_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.2,0,0.011373106,0,0.988626894,"D","B",1,"y",1,NA
"124","urban_184","Sample 4_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.2,0,0,0,1,"D","",1,"y",1,NA
"125","urban_190 rex","Sample 5_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0.393203301,0,0.606796699,"D","",1,"y",1,NA
"126","urban_192","Sample 6_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0.000515295,0.000135283,0.999349422,"D","BC",1,"y",1,NA
"127","urban_194","Sample 7_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0.013669384,0,0.986330616,"D","B",1,"y",1,NA
"128","urban_195","Sample 8_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0.000936165,8.40346e-05,0.998979801,"D","BC",1,"y",1,NA
"129","urban_196","Sample 9_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0.00995963,0,0.99004037,"D","B",1,"y",1,NA
"130","urban_197","Sample 10_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.2,0,0,0,1,"D","",1,"y",1,NA
"131","urban_198","Sample 11_UrbanPopgen_Plate14_7-6-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"D","",1,"y",1,NA
"132","urban_200","Sample 1_UrbanPopgen_Plate15_7-7-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0.004638444,0,0.995361556,"D","B",1,"y",1,NA
"133","urban_202","Sample 2_UrbanPopgen_Plate15_7-7-23_data.csv","Cnat","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0.000297191,0.999702809,"D","C",1,"y",1,NA
