"","ID","Sample.Plate","Species","Region","Site","CollectionDate","Season","Rain","Depth","Symbiodinium","Breviolum","Cladocopium","Durusdinium","dom","background","totalSym","sort","count"
"113","urban_709","Sample 12_UrbanPopgen_Plate88_4-4-24_data.csv","Cnat","North Miami urban","Arch Creek","24-Jan","Winter","Dry",2.7,0,0,0,1,"D","0",1,958,2
"114","urban_670","Sample 1_UrbanPopgen_Plate89_4-4-24_data.csv","Dlab","Palm Beach urban","Peanut Island","24-Jan","Winter","Dry",2.1,0,0,0,1,"D","",1,959,2
"115","urban_673","Sample 2_UrbanPopgen_Plate89_4-4-24_data.csv","Cnat","Palm Beach urban","Peanut Island","24-Jan","Winter","Dry",1.5,0,0,0,1,"D","",1,960,2
"116","urban_674","Sample 3_UrbanPopgen_Plate89_4-4-24_data.csv","Cnat","Palm Beach urban","Peanut Island","24-Jan","Winter","Dry",1.5,0,0,0,1,"D","",1,961,2
"117","urban_675","Sample 4_UrbanPopgen_Plate89_4-4-24_data.csv","Mcav","Palm Beach urban","Peanut Island","24-Jan","Winter","Dry",1.5,0,0,0,1,"D","",1,962,2
"118","urban_676","Sample 5_UrbanPopgen_Plate89_4-4-24_data.csv","Dlab","Palm Beach urban","Peanut Island","24-Jan","Winter","Dry",0.9,0,0,0,1,"D","",1,963,2
"119","urban_677","Sample 6_UrbanPopgen_Plate89_4-4-24_data.csv","Dlab","Palm Beach urban","Peanut Island","24-Jan","Winter","Dry",0.9,0,0,0,1,"D","",1,964,2
"120","urban_678","Sample 7_UrbanPopgen_Plate89_4-4-24_data.csv","Pseu","North Miami urban","FIU Biscayne Bay","24-Jan","Winter","Dry",1.9,0,0,0,1,"D","",1,965,2
"121","urban_679","Sample 8_UrbanPopgen_Plate89_4-4-24_data.csv","Ofav","North Miami urban","FIU Biscayne Bay","24-Jan","Winter","Dry",1.2,0,1,0,0,"B","",1,966,2
"122","urban_680","Sample 9_UrbanPopgen_Plate89_4-4-24_data.csv","Pseu","North Miami urban","FIU Biscayne Bay","24-Jan","Winter","Dry",2.4,0,0,0,1,"D","",1,967,2
"123","urban_681","Sample 10_UrbanPopgen_Plate89_4-4-24_data.csv","Mcav","North Miami urban","FIU Biscayne Bay","24-Jan","Winter","Dry",2.4,0,0,0,1,"D","",1,968,2
"124","urban_683","Sample 11_UrbanPopgen_Plate89_4-4-24_data.csv","Mcav","North Miami urban","FIU Biscayne Bay","24-Jan","Winter","Dry",2.4,0,0,0,1,"D","",1,969,2
"125","urban_693","Sample 12_UrbanPopgen_Plate89_4-4-24_data.csv","Pseu","North Miami urban","Haulover Inlet","24-Jan","Winter","Dry",0.9,0,0,0,1,"D","",1,970,2
"126","urban_399","Sample 1_UrbanPopgen_Plate90_4-4-24_data.csv","Dlab","Miami urban","Seaquarium","24-Jan","Winter","Dry",0.6,0,0,0,1,"","",1,971,2
"127","urban_474","Sample 2_UrbanPopgen_Plate90_4-4-24_data.csv","Pseu","Miami urban","Coral City Camera","24-Jan","Winter","Dry",2.1,0,0,0,1,"D","",1,972,2
"128","urban_547","Sample 3_UrbanPopgen_Plate90_4-4-24_data.csv","Dlab","Miami urban","Coral City Camera","24-Jan","Winter","Dry",0.9,0,0,0,1,"D","",1,973,2
"129","urban_622","Sample 4_UrbanPopgen_Plate90_4-4-24_data.csv","Mcav","Miami urban","Fisher Island","24-Jan","Winter","Dry",1.2,0,0,0,1,"D","",1,974,2
"130","urban_520","Sample 1_UrbanPopgen_Plate91_4-5-24_data.csv","Pseu","Miami urban","Coral City Camera","24-Jan","Winter","Dry",1.5,0,0.990869561,0.009130439,0,"B","",1,975,2
"131","urban_513","Sample 2_UrbanPopgen_Plate91_4-5-24_data.csv","Pseu","Miami urban","Coral City Camera","24-Jan","Winter","Dry",1.5,0,0.946796859,0,0.053203141,"B","D",1,976,2
"132","urban_527","Sample 3_UrbanPopgen_Plate91_4-5-24_data.csv","Pseu","Miami urban","Coral City Camera","24-Jan","Winter","Dry",1.7,0,0,0,1,"D","0",1,977,2
"133","urban_591","Sample 4_UrbanPopgen_Plate91_4-5-24_data.csv","Pseu","Miami urban","Fisher Island","24-Jan","Winter","Dry",0.9,0,0,0,1,"D","",1,978,2
"134","urban_616","Sample 5_UrbanPopgen_Plate91_4-5-24_data.csv","Ofav","Miami urban","Fisher Island","24-Jan","Winter","Dry",0.3,0,0,0.001802974,0.998197026,"D","",1,979,2
"135","urban_473","Sample 6_UrbanPopgen_Plate91_4-5-24_data.csv","Ofav","Miami urban","Coral City Camera","24-Jan","Winter","Dry",2.4,0,0,0,1,"D","0",1,980,2
"136","urban_611","Sample 7_UrbanPopgen_Plate91_4-5-24_data.csv","Cnat","Miami urban","Fisher Island","24-Jan","Winter","Dry",0.6,0,0,0,1,"D","",1,981,2
