"","Comparison","Df","SumOfSqs","R2","F","Pr(>F)"
"RegionNew...1","1",1,1.24329285732948,0.208555457307043,17.1283065252203,0.001
"Residual...2","1",65,4.71815678960572,0.791444542692957,NA,NA
"Total...3","1",66,5.9614496469352,1,NA,NA
"RegionNew...4","2",1,0.950569358206725,0.196464279512643,7.82399187007081,0.001
"Residual...5","2",32,3.88781327585146,0.803535720487357,NA,NA
"Total...6","2",33,4.83838263405819,1,NA,NA
"RegionNew...7","3",1,0.00818598240021918,0.00976230703602002,0.621088600887699,0.428
"Residual...8","3",63,0.830343513754259,0.99023769296398,NA,NA
"Total...9","3",64,0.838529496154478,1,NA,NA
