,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,propA,propB,propC,propD,dom,background,totalSym,redo
2,reps,Sample 11,UrbanPopgen_Plate11_7-6-23_data.csv,28.12927819,NA,39.6047554,22.42349911,0.18051799,NA,NA,0.304354195,2,0,1,2,0,0,0.006386576,0,0,0,0,0,0,156.57842,0,0,Sample 11_UrbanPopgen_Plate11_7-6-23_data.csv,urban_251,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.006346047,0,0,0.993653953,D,A,1,n
3,reps,Sample 12,UrbanPopgen_Plate11_7-6-23_data.csv,34.33860398,NA,NA,23.56087971,2.268657631,NA,NA,0.028132519,2,0,0,2,0,0,0.000189872,0,0,0,0,0,0,5266.711691,0,0,Sample 12_UrbanPopgen_Plate11_7-6-23_data.csv,urban_252,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0,0,0,1,D,,1,n
4,reps,Sample 8,UrbanPopgen_Plate11_7-6-23_data.csv,30.32711697,32.7084465,32.68205261,21.49508953,1.340058037,NA,NA,0.332212922,2,1,1,2,0,0,0.000731431,0,0,0,0,0,0,1367.182325,0,0,Sample 8_UrbanPopgen_Plate11_7-6-23_data.csv,urban_085,Cnat,Miami reef,Emerald Reef,22-Oct,Fall,Wet,0.000731,0,0,0.999269103,D,A,1,n
5,reps,Sample 9,UrbanPopgen_Plate11_7-6-23_data.csv,21.44980717,18.79780007,34.80148315,NA,0.032510394,0.029779272,NA,NA,2,2,1,0,0.01767762,0,0,56.56869979,0,0,0,0,0,0,0,0,Sample 9_UrbanPopgen_Plate11_7-6-23_data.csv,urban_098,Cnat,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,0.01737055,0.98262945,0,0,B,A,1,n
6,reps,Sample 1,UrbanPopgen_Plate12_7-6-23_data.csv,33.38740731,NA,NA,24.21420288,0.772435069,NA,NA,0.42416588,2,0,0,2,0,0,0.00057739,0,0,0,0,0,0,1731.932425,0,0,Sample 1_UrbanPopgen_Plate12_7-6-23_data.csv,urban_253,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.000577,0,0,0.999422943,D,A,1,n
7,reps,Sample 10,UrbanPopgen_Plate12_7-6-23_data.csv,31.75054551,NA,NA,22.30871678,0.046325118,NA,NA,0.07931295,2,0,0,2,0,0,0.000479297,0,0,0,0,0,0,2086.387232,0,0,Sample 10_UrbanPopgen_Plate12_7-6-23_data.csv,urban_264,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.000479,0,0,0.999520932,D,A,1,n
8,reps,Sample 11,UrbanPopgen_Plate12_7-6-23_data.csv,28.58143998,NA,NA,24.53597355,0.568212349,NA,NA,0.1377332,2,0,0,2,0,0,0.02018701,0,0,0,0,0,0,49.53680533,0,0,Sample 11_UrbanPopgen_Plate12_7-6-23_data.csv,urban_265,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.019787559,0,0,0.980212441,D,A,1,n
9,reps,Sample 2,UrbanPopgen_Plate12_7-6-23_data.csv,28.57002449,NA,NA,23.88354683,0.857314109,NA,NA,0.072123039,2,0,0,2,0,0,0.012945189,0,0,0,0,0,0,77.24877557,0,0,Sample 2_UrbanPopgen_Plate12_7-6-23_data.csv,urban_254,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.012779753,0,0,0.987220247,D,A,1,n
11,reps,Sample 4,UrbanPopgen_Plate12_7-6-23_data.csv,30.1066227,NA,NA,21.7423153,0.17647189,NA,NA,0.087905514,2,0,0,2,0,0,0.001011513,0,0,0,0,0,0,988.6183712,0,0,Sample 4_UrbanPopgen_Plate12_7-6-23_data.csv,urban_257,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.001010491,0,0,0.998989509,D,A,1,n
12,reps,Sample 5,UrbanPopgen_Plate12_7-6-23_data.csv,30.43907834,39.62171936,NA,20.06296539,0.157559082,NA,NA,0.319134586,2,1,0,2,0,0,0.000250817,0,0,0,0,0,0,3986.965609,0,0,Sample 5_UrbanPopgen_Plate12_7-6-23_data.csv,urban_258,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.000251,0,0,0.999749246,D,A,1,n
15,reps,Sample 8,UrbanPopgen_Plate12_7-6-23_data.csv,32.92167187,32.70606995,29.8452425,22.52977371,2.879808516,NA,0.090294057,0.265704523,2,1,2,2,0,0.302961754,0.000248088,0,0,0,3.300746666,0,0.000818876,4030.828427,0,1221.186851,Sample 8_UrbanPopgen_Plate12_7-6-23_data.csv,urban_262,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0,0,0.000818,0.999181795,D,C,1,n
16,reps,Sample 9,UrbanPopgen_Plate12_7-6-23_data.csv,30.12392998,NA,39.96537399,21.86378765,0.409405719,NA,NA,0.016865487,2,0,1,2,0,0,0.001087247,0,0,0,0,0,0,919.7543796,0,0,Sample 9_UrbanPopgen_Plate12_7-6-23_data.csv,urban_263,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.001086066,0,0,0.998913934,D,A,1,n
17,reps,Sample 1,UrbanPopgen_Plate13_7-6-23_data.csv,31.81755066,NA,32.79711342,24.76049614,0.775771757,NA,0.114981997,0.384063662,2,0,2,2,0,5.039217459,0.002503189,0,0,0,0.19844351,0,0.000496742,399.490399,0,2013.118993,Sample 1_UrbanPopgen_Plate13_7-6-23_data.csv,urban_266,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.002495702,0,0.000495,0.997009042,D,AC,1,n
18,reps,Sample 10,UrbanPopgen_Plate13_7-6-23_data.csv,26.72594357,33.21519852,30.4431696,21.97019577,0.206411661,NA,0.41493943,0.413753931,2,1,2,2,0,33.61103316,0.012338319,0,0,0,0.029752135,0,0.000367091,81.04831548,0,2724.117619,Sample 10_UrbanPopgen_Plate13_7-6-23_data.csv,urban_122,Cnat,Miami urban,MacArthur North,22-Oct,Fall,Wet,0.012183523,0,0.000362,0.987453991,D,AC,1,n
21,reps,Sample 2,UrbanPopgen_Plate13_7-6-23_data.csv,26.06992912,NA,NA,23.59013081,0.544378134,NA,NA,0.056169275,2,0,0,2,0,0,0.059756489,0,0,0,0,0,0,16.73458438,0,0,Sample 2_UrbanPopgen_Plate13_7-6-23_data.csv,urban_267,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.056386999,0,0,0.943613001,D,A,1,n
22,reps,Sample 3,UrbanPopgen_Plate13_7-6-23_data.csv,30.63824845,NA,NA,24.29248238,0.092086481,NA,NA,0.442295101,2,0,0,2,0,0,0.004098386,0,0,0,0,0,0,243.9985173,0,0,Sample 3_UrbanPopgen_Plate13_7-6-23_data.csv,urban_268,Cnat,Miami urban,Belle Isle,23-Apr,Spring,Dry,0.004081657,0,0,0.995918343,D,A,1,n
23,reps,Sample 4,UrbanPopgen_Plate13_7-6-23_data.csv,27.44445038,NA,32.00416946,21.2936697,0.149414286,NA,NA,0.069936792,2,0,1,2,0,0,0.004691473,0,0,0,0,0,0,213.1526492,0,0,Sample 4_UrbanPopgen_Plate13_7-6-23_data.csv,urban_113,Cnat,Miami urban,MacArthur North,22-Oct,Fall,Wet,0.004669566,0,0,0.995330434,D,A,1,n
24,reps,Sample 5,UrbanPopgen_Plate13_7-6-23_data.csv,31.59244824,38.04188538,NA,21.58205319,1.327828031,NA,NA,0.097239861,2,1,0,2,0,0,0.000323184,0,0,0,0,0,0,3094.214616,0,0,Sample 5_UrbanPopgen_Plate13_7-6-23_data.csv,urban_114,Cnat,Miami urban,MacArthur North,22-Oct,Fall,Wet,0.000323,0,0,0.999676921,D,A,1,n
