"","Sample.Name","File.Name","A.CT.mean","B.CT.mean","C.CT.mean","D.CT.mean","A.CT.sd","B.CT.sd","C.CT.sd","D.CT.sd","A.reps","B.reps","C.reps","D.reps","B.A","C.A","D.A","A.B","C.B","D.B","A.C","B.C","D.C","A.D","B.D","C.D","Sample.Plate","ID","Species","Region","Site","CollectionDate","Season","Rain","Depth"
"1","Sample 1","UrbanPopgen_Plate01_6-29-23_data.csv",21.25286007,31.1842804,19.419471745,31.74308395,0.938002728367297,NA,0.0244627055774721,NA,2,1,2,1,0,1.3945033212385,0,0,0,0,0.71710119636852,0,0,0,0,0,"Sample 1_UrbanPopgen_Plate01_6-29-23_data.csv","urban_083","Mcav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",8.2
"2","Sample 10","UrbanPopgen_Plate01_6-29-23_data.csv",21.157411575,31.944695475,19.217569355,33.58128357,0.332492109049616,0.825202926241007,1.09023984143721,NA,2,2,2,1,0.00509268112315147,1.5012926849262,0,196.360222801693,294.794166102661,0,0.666092634727757,0.00339219738714827,0,0,0,0,"Sample 10_UrbanPopgen_Plate01_6-29-23_data.csv","urban_170","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5
"3","Sample 11","UrbanPopgen_Plate01_6-29-23_data.csv",20.682099345,32.732686995,18.374117855,27.700505255,0.606530239011884,1.06255644124813,0.0305008318033786,0.143567672805584,2,2,2,2,0.00212155434709821,1.9376990723471,0.0231403836028956,471.352525740274,913.339351875392,10.9072782578237,0.516076006987358,0.00109488329605712,0.0119421967699381,43.2144953670892,0.0916819005037036,83.7366875847568,"Sample 11_UrbanPopgen_Plate01_6-29-23_data.csv","urban_172","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5
"4","Sample 12","UrbanPopgen_Plate01_6-29-23_data.csv",22.33958817,33.105184555,21.95073223,24.092781065,NA,0.0965317923913264,0.658382329778819,0.275444826979557,1,2,2,2,0,0,0,0,99.1053042215958,172.140289414521,0,0.0100902772848973,1.73694325209498,0,0.00580921528249529,0.57572404786044,"Sample 12_UrbanPopgen_Plate01_6-29-23_data.csv","urban_104","Mcav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",8.5
"5","Sample 2","UrbanPopgen_Plate01_6-29-23_data.csv",19.607793805,30.14455509,20.377040865,21.17514801,0.207772501846845,0.579788231293799,0.137286782679559,0.401480762952979,2,2,2,2,0.00605844689565046,0.22958749750703,1.01227992721223,165.058804215636,37.8954378013708,167.085714317143,4.35563787601013,0.0263884007684911,4.40912479209038,0.987869040092445,0.00598495211925728,0.226802380779496,"Sample 2_UrbanPopgen_Plate01_6-29-23_data.csv","urban_157b rex","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",6.6
"6","Sample 3","UrbanPopgen_Plate01_6-29-23_data.csv",27.363604545,30.73240662,18.70115471,31.982933045,0.657087581907127,1.2149729331663,0.0856477856122014,0.261588291784747,2,2,2,2,0.871228422970611,158.552067552242,0.122057597233332,1.14780460971454,181.986794016235,0.140098272755099,0.00630707637836704,0.00549490420667991,0.000769826588310584,8.19285339599426,7.13784674382149,1298.9938450873,"Sample 3_UrbanPopgen_Plate01_6-29-23_data.csv","urban_160b","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.3
"7","Sample 4","UrbanPopgen_Plate01_6-29-23_data.csv",19.961929325,31.74925423,18.093933105,31.837687495,0.796811457605521,NA,0.144993256644999,0.886700908097484,2,1,2,2,0,1.42835963092761,0.000798292086837301,0,0,0,0.700103796234128,0,0.000558887320498458,1252.67432370754,0,1789.26943468341,"Sample 4_UrbanPopgen_Plate01_6-29-23_data.csv","urban_162b","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.3
"8","Sample 5","UrbanPopgen_Plate01_6-29-23_data.csv",19.48976898,31.49917507,18.422748565,30.618659975,0.238185666551496,0.382041959131957,0.154221056708026,0.371903794443493,2,2,2,2,0.00218298648130706,0.819822482975798,0.00133964968637614,458.088040655777,375.550874911937,0.613677499997171,1.21977625737976,0.00266275508007933,0.00163407288064785,746.463803313449,1.62952039141831,611.967808683989,"Sample 5_UrbanPopgen_Plate01_6-29-23_data.csv","urban_164","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5
"9","Sample 6","UrbanPopgen_Plate01_6-29-23_data.csv",20.36836529,33.553684235,21.47001171,21.230283735,0.23044547773473,0.81815326962248,0.150920784299261,0.412068053584583,2,2,2,2,0.000966197711722076,0.182341723893449,1.65066122266071,1034.98485648209,188.720922934558,1708.40936863605,5.48420832406054,0.00529882953331446,9.05257001751981,0.605817830013657,0.000585339801079629,0.110465867490078,"Sample 6_UrbanPopgen_Plate01_6-29-23_data.csv","urban_165","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5
"10","Sample 7","UrbanPopgen_Plate01_6-29-23_data.csv",20.23888302,29.86021328,18.65809536,23.39463711,0.0291898911863971,0.584764933672604,0.1833920610723,0.0779966215391872,2,2,2,2,0.0114270335634188,1.17052090888817,0.336623642223939,87.5117758646731,102.434363423535,29.4585327290513,0.854320493044297,0.00976234894793365,0.287584475995122,2.97067666844015,0.0339460219963306,3.47723915395545,"Sample 7_UrbanPopgen_Plate01_6-29-23_data.csv","urban_167","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5
