"","Df","SumOfSqs","R2","F","Pr(>F)"
"RegionNew",2,4.09490053195039,0.269963974766618,31.1861207975562,1e-04
"Rain",1,2.36334645058055,0.155808034058747,35.9977524822446,1e-04
"Depth",1,-0.021722155420175,-0.00143207371509353,-0.330865063818393,0.9991
"Residual",133,8.73179729990783,0.575660064889728,NA,NA
"Total",137,15.1683221270186,1,NA,NA
