,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,Depth,propA,propB,propC,propD,dom,background,totalSym,failed
18,reps,Sample 1,UrbanPopgen_Plate19_7-10-23_data.csv,22.70628453,NA,NA,21.82010079,1.111407677,NA,NA,0.535228561,2,0,0,2,0,0,0.180347804,0,0,0,0,0,0,5.544841574,0,0,Sample 1_UrbanPopgen_Plate19_7-10-23_data.csv,urban_078,Pseu,Miami reef,Emerald Reef,22-Oct,Fall,Wet,7.9,0.152792087,0,0,0.847207913,D,,1,n
20,reps,Sample 11,UrbanPopgen_Plate19_7-10-23_data.csv,28.22420502,22.13949966,27.88458825,32.78501511,0.347565165,0.251297717,0.778123884,NA,2,2,2,1,0.001637113,2.01953085,0,610.8313748,1233.592806,0,0.495164508,0.00081064,0,0,0,0,Sample 11_UrbanPopgen_Plate19_7-10-23_data.csv,urban_325 cc5,Pseu,Miami reef,Emerald Reef,23-Jun,Summer,Wet,6.4,0.001633116,0.997558224,0.000809,0,B,AC,1,n
23,reps,Sample 3,UrbanPopgen_Plate19_7-10-23_data.csv,26.56056977,NA,31.54634285,21.89682484,0.129526371,NA,1.036057197,0.096587088,2,0,2,2,0,80.97530206,0.013150784,0,0,0,0.012349445,0,0.000162405,76.04109651,0,6157.450759,Sample 3_UrbanPopgen_Plate19_7-10-23_data.csv,urban_086,Pseu,Miami reef,Emerald Reef,22-Oct,Fall,Wet,7.9,0.012978005,0,0.00016,0.986861724,D,AC,1,n
26,reps,Sample 6,UrbanPopgen_Plate19_7-10-23_data.csv,24.4459486,22.78046322,30.15873528,34.29009628,0.597742111,0.02370608,1.374993397,NA,2,2,2,1,0.035026475,134.0310669,0,28.5498326,3826.564523,0,0.007460957,0.000261331,0,0,0,0,Sample 6_UrbanPopgen_Plate19_7-10-23_data.csv,urban_173,Pseu,Miami reef,Emerald Reef,23-Jan,Winter,Dry,7.5,0.033832597,0.96591498,0.000252,0,B,AC,1,n
29,reps,Sample 9,UrbanPopgen_Plate19_7-10-23_data.csv,34.81862068,21.6724062,32.00399971,NA,1.380833257,0.046526078,0.453424558,NA,2,2,2,0,1.23E-05,0.363245287,0,81591.9662,29637.89718,0,2.752960701,3.37E-05,0,0,0,0,Sample 9_UrbanPopgen_Plate19_7-10-23_data.csv,urban_323 cc5,Pseu,Miami reef,Emerald Reef,23-Jun,Summer,Wet,8.5,1.23E-05,0.999954005,3.37E-05,0,B,AC,1,n
31,reps,Sample 10,UrbanPopgen_Plate20_7-10-23_data.csv,26.00417042,21.44048119,34.63033486,NA,0.308152129,NA,3.048488973,NA,2,1,2,0,0,1009.76327,0,0,0,0,0.000990331,0,0,0,0,0,Sample 10_UrbanPopgen_Plate20_7-10-23_data.csv,OS16 rex,Pseu,Miami reef,Rainbow Reef,22-Jun,Summer,Wet,7,1,0,0,0,A,,1,y
32,reps,Sample 11,UrbanPopgen_Plate20_7-10-23_data.csv,26.81537247,20.65675164,36.917099,NA,0.514350696,0.049049487,NA,NA,2,2,1,0,0.001555349,0,0,642.9424654,0,0,0,0,0,0,0,0,Sample 11_UrbanPopgen_Plate20_7-10-23_data.csv,OS17 rex,Pseu,Miami reef,Rainbow Reef,22-Jun,Summer,Wet,6.7,0.001552934,0.998447066,0,0,B,A,1,n
33,reps,Sample 2,UrbanPopgen_Plate20_7-10-23_data.csv,34.53970528,21.94041634,NA,NA,3.043185884,0.055860425,NA,NA,2,2,0,0,1.79E-05,0,0,55847.84304,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate20_7-10-23_data.csv,nmfs_008,Pseu,Miami reef,Rainbow Reef,21-Jan,Winter,Dry,7,0,1,0,0,B,,1,n
34,reps,Sample 3,UrbanPopgen_Plate20_7-10-23_data.csv,35.07995606,21.28975582,37.13855362,32.64395905,0.778479941,0.143991166,NA,NA,2,2,1,1,7.84E-06,0,0,127498.8966,0,0,0,0,0,0,0,0,Sample 3_UrbanPopgen_Plate20_7-10-23_data.csv,nmfs_009,Pseu,Miami reef,Rainbow Reef,21-Jan,Winter,Dry,7,7.84E-06,0.999992157,0,0,B,A,1,n
36,reps,Sample 5,UrbanPopgen_Plate20_7-10-23_data.csv,30.0668974,21.74961758,36.79368973,32.03804779,0.959606191,0.175140726,2.035408206,NA,2,2,2,1,0.000348343,270.6771484,0,2870.735749,777042.5664,0,0.003694438,1.29E-06,0,0,0,0,Sample 5_UrbanPopgen_Plate20_7-10-23_data.csv,OS11 cc5,Pseu,Miami reef,Rainbow Reef,22-Jun,Summer,Wet,7.9,0.000348,0.999651779,0,0,B,A,1,n
39,reps,Sample 8,UrbanPopgen_Plate20_7-10-23_data.csv,27.52077485,23.12015248,NA,NA,0.447654829,0.252844676,NA,NA,2,2,0,0,0.005260635,0,0,190.0911256,0,0,0,0,0,0,0,0,Sample 8_UrbanPopgen_Plate20_7-10-23_data.csv,OS14 rex,Pseu,Miami reef,Rainbow Reef,22-Jun,Summer,Wet,8.8,0.005233105,0.994766895,0,0,B,A,1,n
