"","Df","SumOfSqs","R2","F","Pr(>F)"
"Region",5,9.51761526813263,0.137899848314363,10.2326147642712,1e-04
"Rain",1,0.105347663622272,0.0015263725654498,0.566308906061843,0.4627
"Depth",1,0.797450321697966,0.0115541840368974,4.28678913030934,0.0407
"Residual",315,58.5979024624271,0.849019595083291,NA,NA
"Total",322,69.0183157158799,1,NA,NA
