,violation,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.B,A.C,A.D,B.A,B.C,B.D,C.A,C.B,C.D,D.A,D.B,D.C,Sample.Plate,ID,Species,Region,Site,CollectionDate,Season,Rain,propA,propB,propC,propD,dom,background,totalSym,failed
46,reps,Sample 8,UrbanPopgen_Plate32_7-13-23_data.csv,26.14899826,23.50164891,NA,35.26170349,NA,0.016727919,NA,NA,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 8_UrbanPopgen_Plate32_7-13-23_data.csv,urban_166,Ofav,Miami reef,Emerald Reef,23-Jan,Winter,Dry,0,1,0,0,B,,1,y
48,reps,Sample 1,UrbanPopgen_Plate42_1-17-24_data.csv,27.22258568,22.91386128,35.96565628,NA,0.687189195,0.026357624,NA,NA,2,2,1,0,0.005606634,0,0,178.3601375,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate42_1-17-24_data.csv,urban_053,Ofav,Broward reef,FTL4,22-Aug,Summer,Wet,0.005575375,0.994424625,0,0,B,A,1,n
50,reps,Sample 11,UrbanPopgen_Plate42_1-17-24_data.csv,28.54672241,21.3308754,32.23376656,NA,0.212150377,0.48743066,0.1806043,NA,2,2,2,0,0.000747431,32.91517812,0,1337.916178,44037.74929,0,0.030381121,2.27E-05,0,0,0,0,Sample 11_UrbanPopgen_Plate42_1-17-24_data.csv,urban_282,Ofav,Broward reef,BC1,23-May,Spring,Dry,0.000747,0.999190326,6.28E-05,0,B,AC,1,n
52,reps,Sample 3,UrbanPopgen_Plate42_1-17-24_data.csv,21.40980626,33.68709564,21.44155789,34.58117485,0.573953759,NA,0.090431625,0.41660507,2,1,2,2,0,2.612423126,3075.075452,0,0,0,0.382786383,0,1177.09701,0.000325195,0,0.000849548,Sample 3_UrbanPopgen_Plate42_1-17-24_data.csv,urban_059,Ofav,Broward reef,BC1,22-Aug,Summer,Wet,0.456870893,0,0.543129107,0,C,,1,n
58,reps,Sample 9,UrbanPopgen_Plate42_1-17-24_data.csv,29.26321221,24.5560236,NA,NA,0.801388942,0.154729509,NA,NA,2,2,0,0,0.00425356,0,0,235.0972106,0,0,0,0,0,0,0,0,Sample 9_UrbanPopgen_Plate42_1-17-24_data.csv,urban_245,Ofav,Broward reef,BC1,23-Apr,Spring,Dry,0.004235543,0.995764457,0,0,B,A,1,n
59,reps,Sample 12,UrbanPopgen_Plate43_1-18-24_data.csv,34.13153267,22.21033478,32.54991913,NA,1.722259144,NA,NA,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 12_UrbanPopgen_Plate43_1-18-24_data.csv,urban_283,Ofav,Broward reef,BC1,23-May,Spring,Dry,0,0,0,0,,,0,y
63,reps,Sample 4,UrbanPopgen_Plate44_1-18-24_data.csv,25.61206818,21.81059075,32.39515114,25.63775635,NA,0.083611254,0.521587814,0.102239488,1,2,2,2,0,0,0,0,35318.15481,42.58071,0,2.83E-05,0.001205632,0,0.023484813,829.4402514,Sample 4_UrbanPopgen_Plate44_1-18-24_data.csv,urban_297,Ofav,Broward reef,T328,23-May,Spring,Dry,0,0.996979117,3.01E-05,0.002990785,B,CD,1,n
68,reps,Sample 9,UrbanPopgen_Plate54_1-23-24_data.csv,17.82529355,22.15994358,NA,33.01521301,0.202230694,0.262582279,NA,NA,2,2,0,1,2.241904826,0,0,0.446049265,0,0,0,0,0,0,0,0,Sample 9_UrbanPopgen_Plate54_1-23-24_data.csv,urban_415,Ofav,North Miami reef,Pillars,24-Jan,Winter,Dry,0.691539372,0.308460628,0,0,A,,1,n
69,reps,Sample 12,UrbanPopgen_Plate83_3-31-24_data.csv,28.99568844,26.45786763,NA,34.73540115,0.124251609,4.997573689,NA,NA,2,2,0,1,0.019133627,0,0,52.26400622,0,0,0,0,0,0,0,0,Sample 12_UrbanPopgen_Plate83_3-31-24_data.csv,urban_166,Ofav,Miami reef,Emerald Reef,23-Jan,NA,NA,1,0,0,0,A,,1,y
70,reps,Sample 10,UrbanPopgen_Plate85_3-31-24_data.csv,22.8137188,24.92579556,33.6211319,NA,0.667595288,0.121926443,NA,NA,2,2,1,0,0.480347958,0,0,2.081824195,0,0,0,0,0,0,0,0,Sample 10_UrbanPopgen_Plate85_3-31-24_data.csv,urban_431,Ofav,North Miami reef,Graceland,24-Jan,NA,NA,0.324483143,0.675516857,0,0,B,,1,n
71,reps,Sample 1,UrbanPopgen_Plate87_4-3-24_data.csv,29.71683121,21.00116158,35.1427517,33.01732254,0.670325059,0.376837335,2.772280774,NA,2,2,2,1,0.000264289,109.8626697,0,3783.733154,415691.0255,0,0.009102273,2.41E-06,0,0,0,0,Sample 1_UrbanPopgen_Plate87_4-3-24_data.csv,nmfs_015,Ofav,Miami reef,Emerald Reef,21-Jan,NA,NA,NA,NA,NA,NA,,,NA,n
25,reps,Sample 1,UrbanPopgen_Plate50_1-19-24_data.csv,37.6584053,39.75533676,NA,23.62794495,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate50_1-19-24_data.csv,Baggs_039,Ofav,Miami urban,Bill Baggs,21-Oct,Fall,Dry,0,0,0,0,,,0,y
261,reps,Sample 2,UrbanPopgen_Plate50_1-19-24_data.csv,36.49390411,37.47776794,NA,NA,2.558174788,NA,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 2_UrbanPopgen_Plate50_1-19-24_data.csv,Baggs_108,Ofav,Miami urban,Bill Baggs,21-Oct,Fall,Dry,0,0,0,0,,,0,y
27,reps,Sample 3,UrbanPopgen_Plate50_1-19-24_data.csv,NA,NA,NA,26.5826664,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 3_UrbanPopgen_Plate50_1-19-24_data.csv,Baggs_206,Ofav,Miami urban,Bill Baggs,20-Jun,Summer,Wet,0,0,0,0,,,0,y
301,reps,Sample 5,UrbanPopgen_Plate61_3-24-24_data.csv,34.31310654,35.21110153,NA,23.68361664,4.29595207,2.349191161,NA,NA,2,2,0,1,0.20705271,0,0,4.829688061,0,0,0,0,0,0,0,0,Sample 5_UrbanPopgen_Plate61_3-24-24_data.csv,urban_473,Ofav,Miami urban,Coral City Camera,24-Jan,NA,NA,0,0,0,0,,,0,y
42,reps,Sample 1,UrbanPopgen_Plate71_3-25-24_data.csv,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate71_3-25-24_data.csv,urban_616,Ofav,Miami urban,Fisher Island,24-Jan,NA,NA,0,0,0,0,,,0,y
61,reps,Sample 10,UrbanPopgen_Plate79_3-30-24_data.csv,NA,NA,NA,32.23501205,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sample 10_UrbanPopgen_Plate79_3-30-24_data.csv,urban_679,Ofav,North Miami urban,FIU Biscayne Bay,24-Jan,NA,NA,0,0,0,0,,,0,y
24,stdv,Sample 6,UrbanPopgen_Plate08_7-3-23_data.csv,30.55455494,29.67645073,33.44394303,20.6288929,1.712377228,0.206094714,0.24838723,0.068740495,2,2,2,2,0.060453547,18.93554499,0.000342734,16.54162671,313.2247168,0.005669372,0.052810732,0.003192596,1.81E-05,2917.717603,176.3863769,55248.57295,Sample 6_UrbanPopgen_Plate08_7-3-23_data.csv,nmfs_053,Ofav,Miami reef,Rainbow Reef,21-Feb,Winter,Dry,0,0.00563731,1.80E-05,0.994344692,D,BC,1,n
33,stdv,Sample 6,UrbanPopgen_Plate09_7-5-23_data.csv,20.20993233,33.66300202,29.17043018,26.1979084,0.774093969,3.309874954,0.268589391,0.758740383,2,2,2,2,1246.048656,1273.104218,21.15627274,0.000802537,1.021713086,0.016978689,0.000785482,0.978748352,0.016617864,0.047267305,58.89736208,60.17620559,Sample 6_UrbanPopgen_Plate09_7-5-23_data.csv,urban_105,Ofav,Miami reef,Rainbow Reef,22-Oct,Fall,Wet,0.954150414,0,0.000749,0.045100119,A,CD,1,n
36,stdv,Sample 1,UrbanPopgen_Plate32_7-13-23_data.csv,34.50622273,27.54646016,NA,25.51726437,4.029539471,0.395704287,NA,0.39964249,2,2,0,2,0.000892607,0,0.000656044,1120.31411,0,0.73497481,0,0,0,1524.289124,1.360590847,0,Sample 1_UrbanPopgen_Plate32_7-13-23_data.csv,urban_087,Ofav,Miami reef,Emerald Reef,22-Oct,Fall,Wet,0,0.423622756,0,0.576377244,D,,1,n
39,stdv,Sample 12,UrbanPopgen_Plate32_7-13-23_data.csv,33.40880585,24.29090786,35.02467346,22.58676052,1.732846435,0.008112424,NA,0.112248181,2,2,1,2,0.000199985,0,0.000184127,5000.383349,0,0.920707728,0,0,0,5431.021374,1.086121002,0,Sample 12_UrbanPopgen_Plate32_7-13-23_data.csv,nmfs_004,Ofav,Miami reef,Rainbow Reef,21-Jan,Winter,Dry,0,0.479358579,0,0.520641421,D,,1,n
291,stdv,Sample 1,UrbanPopgen_Plate61_3-24-24_data.csv,NA,NA,NA,27.09624767,NA,NA,NA,1.884492817,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Sample 1_UrbanPopgen_Plate61_3-24-24_data.csv,Baggs_039,Ofav,Miami urban,Bill Baggs,21-Oct,NA,NA,0,0,0,0,,,0,y
