Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate91_4-5-24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-04-05 16:51:23 PM PDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,33.29921341,31.89037323,1.992400885,,,,FALSE,0.1,TRUE,3,29,87.0303421,,,,Y,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,28.47614288,28.1364212,0.480440348,,,,FALSE,0.1,TRUE,3,24,85.98488617,,,,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,30.00947762,29.76308441,0.348451257,,,,FALSE,0.1,TRUE,3,26,87.63044739,,,,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,26.64543724,26.74761772,0.144505024,,,,FALSE,0.1,TRUE,3,23,84.49377441,,,,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,31.4264164,30.60824585,1.157067895,,,,FALSE,0.1,TRUE,3,27,86.13990784,,,,Y,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.17183685,61.49634933,,,N,Y,Y,Y
A7,Sample 7,A,UNKNOWN,SYBR,None,37.40867996,35.50991058,2.68526268,,,,FALSE,0.1,TRUE,3,33,83.59951782,,,,Y,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,36.28272629,34.35304642,2.728979349,,,,FALSE,0.1,TRUE,3,32,83.45016479,,,,Y,N,N,N
A9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
A10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
A11,,,,,,,,,,,,,,,,,,,,,N,N,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34737778,69.26250458,,,N,N,N,Y
B1,Sample 1,A,UNKNOWN,SYBR,None,30.48153305,31.89037323,1.992400885,,,,FALSE,0.1,TRUE,3,27,87.62774658,68.2121048,,,Y,N,N,Y
B2,Sample 2,A,UNKNOWN,SYBR,None,27.79669762,28.1364212,0.480440348,,,,FALSE,0.1,TRUE,3,24,85.98488617,,,,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,29.51669312,29.76308441,0.348451257,,,,FALSE,0.1,TRUE,3,26,87.33171844,,,,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,26.8497982,26.74761772,0.144505024,,,,FALSE,0.1,TRUE,3,23,84.34440613,,,,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,29.7900753,30.60824585,1.157067895,,,,FALSE,0.1,TRUE,3,26,87.33474731,,,,Y,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,65.97699738,81.95797729,,,N,Y,Y,Y
B7,Sample 7,A,UNKNOWN,SYBR,None,33.61114502,35.50991058,2.68526268,,,,FALSE,0.1,TRUE,3,30,83.45016479,,,,Y,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,32.42336655,34.35304642,2.728979349,,,,FALSE,0.1,TRUE,3,28,85.98925781,82.40465546,,,Y,N,N,Y
B9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
B10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
B11,,,,,,,,,,,,,,,,,,,,,N,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49671936,,,,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,24.5228405,24.52129745,0.002180847,,,,FALSE,0.1,TRUE,3,20,79.41343689,,,,N,N,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,23.55934715,23.50020981,0.083632834,,,,FALSE,0.1,TRUE,3,20,79.41343689,,,,N,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,36.80244064,34.27574921,3.573283911,,,,FALSE,0.1,TRUE,3,33,79.5647049,,,,Y,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,31.88962936,,,,,FALSE,0.1,TRUE,3,4,61.19272614,67.16735077,,,N,Y,N,Y
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,,,,N,Y,Y,N
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,65.52893066,,,,N,Y,Y,N
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,,,,N,N,Y,N
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,66.57266998,61.34512329,,,N,Y,Y,Y
C9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
C10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
C11,,,,,,,,,,,,,,,,,,,,,N,N,N,N
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49671936,,,,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,24.51975632,24.52129745,0.002180847,,,,FALSE,0.1,TRUE,3,20,79.41343689,,,,N,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,23.44107246,23.50020981,0.083632834,,,,FALSE,0.1,TRUE,3,20,79.41343689,,,,N,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,31.74905396,34.27574921,3.573283911,,,,FALSE,0.1,TRUE,3,28,79.41533661,,,,Y,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,31.88962936,31.88962936,,,,,FALSE,0.1,TRUE,3,28,79.5647049,,,,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.76925659,,,,N,N,Y,N
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,65.37957764,,,,N,N,Y,N
D7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,,,,N,Y,Y,N
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49448395,,,,N,Y,Y,N
D9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
D10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
