Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate53_1-23-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-23 16:06:42 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
D3,Sample 3,B,UNKNOWN,SYBR,None,21.7946434,21.98197174,0.264922291,,,,FALSE,0.1,TRUE,3,19,,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,37.1013298,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D5,Sample 5,B,UNKNOWN,SYBR,None,23.54836273,23.60186768,0.07566876709,,,,FALSE,0.1,TRUE,3,20,,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,22.19183731,22.28614044,0.1333634257,,,,FALSE,0.1,TRUE,3,19,,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,20.95056152,20.58124733,0.5222891569,,,,FALSE,0.1,TRUE,3,19,,Y,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,22.6263504,22.6263504,,,,,FALSE,0.1,TRUE,3,20,,N,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,22.55228615,22.87303925,0.4536147416,,,,FALSE,0.1,TRUE,3,19,,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,21.67233849,21.57994843,0.1306606233,,,,FALSE,0.1,TRUE,3,18,,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,28.84963989,28.53045654,0.4513934255,,,,FALSE,0.1,TRUE,3,25,,N,N,N
D12,Sample 12,B,UNKNOWN,SYBR,None,25.37896347,25.29871178,0.1134930328,,,,FALSE,0.1,TRUE,3,22,,N,N,N
