Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate72_3-26-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-26 21:50:21 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,32.75836563,32.21572495,0.767409801,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,27.74840927,27.6987915,0.070170119,,,,FALSE,0.1,TRUE,3,24,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,33.56238556,32.63695145,1.308761477,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,31.18784332,32.01325226,1.167307258,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,23.55504608,23.6451664,0.127449378,,,,FALSE,0.1,TRUE,3,19,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,31.33772659,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A7,Sample 7,A,UNKNOWN,SYBR,None,28.74040604,28.84026337,0.141218245,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,36.81248093,35.37052155,2.039241314,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,27.53235435,27.44302368,0.126332656,,,,FALSE,0.1,TRUE,3,24,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,23.12310791,23.12765884,0.006437341,,,,FALSE,0.1,TRUE,3,19,,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,19.01712608,19.4229393,0.573907912,,,,FALSE,0.1,TRUE,3,15,,Y,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,31.67308426,32.21572495,0.767409801,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,27.64917374,27.6987915,0.070170119,,,,FALSE,0.1,TRUE,3,24,,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,31.71151733,32.63695145,1.308761477,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,32.83866501,32.01325226,1.167307258,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,23.73528671,23.6451664,0.127449378,,,,FALSE,0.1,TRUE,3,19,,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,31.33772659,31.33772659,,,,,FALSE,0.1,TRUE,3,28,,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,28.94011879,28.84026337,0.141218245,,,,FALSE,0.1,TRUE,3,25,,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,33.92855835,35.37052155,2.039241314,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,27.35369301,27.44302368,0.126332656,,,,FALSE,0.1,TRUE,3,24,,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,23.13221169,23.12765884,0.006437341,,,,FALSE,0.1,TRUE,3,19,,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,19.82875443,19.4229393,0.573907912,,,,FALSE,0.1,TRUE,3,16,,Y,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,35.66368866,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,33.18664169,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,37.19871902,,,,,FALSE,0.1,TRUE,3,38,,N,N,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,22.42478561,22.35214615,0.10272637,,,,FALSE,0.1,TRUE,3,19,,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,31.96791267,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,21.95115852,21.95115852,,,,,FALSE,0.1,TRUE,3,18,,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,29.94635773,29.94635773,,,,,FALSE,0.1,TRUE,3,26,,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,31.658638,31.59652328,0.087842122,,,,FALSE,0.1,TRUE,3,28,,N,N,N
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,35.66368866,35.66368866,,,,,FALSE,0.1,TRUE,3,32,,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,33.18664169,33.18664169,,,,,FALSE,0.1,TRUE,3,29,,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,37.19871902,37.19871902,,,,,FALSE,0.1,TRUE,3,33,,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D7,Sample 7,B,UNKNOWN,SYBR,None,22.27950859,22.35214615,0.10272637,,,,FALSE,0.1,TRUE,3,18,,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,31.96791267,31.96791267,,,,,FALSE,0.1,TRUE,3,28,,N,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,21.95115852,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,29.94635773,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D11,Sample 11,B,UNKNOWN,SYBR,None,31.53441048,31.59652328,0.087842122,,,,FALSE,0.1,TRUE,3,28,,N,N,N
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,31.5049324,31.5049324,,,,,FALSE,0.1,TRUE,3,28,,N,N,N
E2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,31.21945381,30.25155258,1.368818998,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
E12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,31.5049324,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
