Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate9_7-5-23.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-05 14:58:42 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,19.2100563,,,,,FALSE,0.1,TRUE,1,2,,Y,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,23.87552643,23.54409218,0.468718797,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,21.69895554,21.53055573,0.238153294,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,26.62723351,26.46612549,0.227842495,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,26.28790283,26.08198929,0.291205734,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,20.75729942,20.20993233,0.774093986,,,,FALSE,0.1,TRUE,3,17,,N,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,21.99936485,21.87555122,0.175098911,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,30.97210503,30.45228195,0.73514086,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,29.83407784,29.51912689,0.445407897,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,26.99222374,26.95204544,0.056819346,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,31.83205605,31.23369408,0.846211612,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,34.5665741,32.41878891,3.037426949,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,19.2100563,19.2100563,,,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,23.21265793,23.54409218,0.468718797,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,21.36215591,21.53055573,0.238153294,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,26.30501556,26.46612549,0.227842495,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,25.87607574,26.08198929,0.291205734,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,19.66256523,20.20993233,0.774093986,,,,FALSE,0.1,TRUE,3,16,,N,Y,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,21.75173759,21.87555122,0.175098911,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,29.93245888,30.45228195,0.73514086,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,29.20417595,29.51912689,0.445407897,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,26.91186905,26.95204544,0.056819346,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,30.63533211,31.23369408,0.846211612,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,30.27100372,32.41878891,3.037426949,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,25.23198891,25.28147888,0.069988042,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,32.95135498,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,21.97312927,21.82747269,0.205988169,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,23.38569641,23.34165382,0.062285624,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,22.73166847,22.61019135,0.171793252,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
