Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate40_1-16-24.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-16 19:16:13 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL,MTP
C9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.79523468,,,,N,N,N,Y,N
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.04846954,,,,N,Y,N,Y,N
C11,Sample 11,B,UNKNOWN,SYBR,None,36.88645935,36.88645935,,,,,FALSE,0.1,TRUE,3,34,83.89716339,81.20876312,,,N,N,N,N,Y
C12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,81.0594101,83.74780273,,,N,N,N,N,Y
D1,Sample 1,B,UNKNOWN,SYBR,None,33.8645668,33.26652908,0.845753074,,,,FALSE,0.1,TRUE,3,30,79.26837158,,,,Y,N,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,31.74680138,,,,,FALSE,0.1,TRUE,3,39,61.34737396,66.12630463,,,N,N,N,Y,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.06789398,61.34664917,,,N,N,N,Y,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,30.59917068,31.46337891,1.222175002,,,,FALSE,0.1,TRUE,3,28,79.12059784,,,,Y,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,32.731987,32.37503052,0.5048154,,,,FALSE,0.1,TRUE,3,29,78.81977844,,,,Y,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,32.88613892,32.98900223,0.145470694,,,,FALSE,0.1,TRUE,3,30,78.52105713,,,,N,N,N,N,N
