Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate21_7-10-23.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-10 18:13:49 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,30.87202835,33.22293091,3.32467556,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,21.35095215,21.34202194,0.012630568,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,26.93342972,27.05337524,0.16962859,,,,FALSE,0.1,TRUE,3,23,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,33.32429886,33.11377716,0.297722638,,,,FALSE,0.1,TRUE,3,30,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,28.28159142,28.41910172,0.194470286,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,20.27443886,20.19637299,0.110403165,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,25.88155365,25.86426735,0.024446521,,,,FALSE,0.1,TRUE,3,22,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,19.69597626,19.71538544,0.027447376,,,,FALSE,0.1,TRUE,3,16,,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,15.46266651,15.4224062,0.056936685,,,,FALSE,0.1,TRUE,3,12,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,25.93527985,25.70009995,0.332594603,,,,FALSE,0.1,TRUE,3,23,,N,N,N
