Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate34_7-17-23.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-17 17:57:06 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,24.9483223,24.46862411,0.678395689,,,,FALSE,0.1,TRUE,3,20,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,25.90870094,25.54606247,0.512846887,,,,FALSE,0.1,TRUE,3,22,,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,33.6701622,33.8262558,0.220749676,,,,FALSE,0.1,TRUE,3,30,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,29.3014698,29.40098953,0.140742153,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,29.3339119,30.0486927,1.010852695,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,Undetermined,34.21731949,,,,,FALSE,0.1,TRUE,3,37,,N,N,Y
A7,Sample 7,A,UNKNOWN,SYBR,None,38.13299942,38.16418457,0.044102464,,,,FALSE,0.1,TRUE,3,33,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,37.20262527,37.65306091,0.637014866,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,38.97710037,36.82513809,3.043334246,,,,FALSE,0.1,TRUE,3,35,,Y,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,38.09027481,37.4464035,0.910571516,,,,FALSE,0.1,TRUE,3,34,,Y,N,N
