Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 20:22:23 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
C5,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,34.64742661,34.20659256,0.623433471,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N
C6,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.86944199,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C6,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,23.93705559,24.12386703,0.264189929,,,,FALSE,0.1,TRUE,3,20,,N,N,N,Y
C7,Sample 5,A,UNKNOWN,FAM,NFQ-MGB,25.97840309,26.5353508,0.787644327,,,,FALSE,0.1,TRUE,3,22,,N,Y,N,N
C8,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,28.60570908,28.36010742,0.347331852,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
C9,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,30.78063965,30.56919479,0.299029529,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
C9,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.39496803,28.34439278,0.07152421,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
C10,Sample 5,A,UNKNOWN,FAM,NFQ-MGB,27.09230042,26.5353508,0.787644327,,,,FALSE,0.1,TRUE,3,23,,N,Y,N,N
C11,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,28.11450768,28.36010742,0.347331852,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
C12,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,30.35774803,30.56919479,0.299029529,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
C12,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.29381752,28.34439278,0.07152421,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
D1,Sample 6,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D2,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D3,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
