Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate2_6-29-23.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-06-29 23:56:29 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,23.18915558,22.41074753,1.100833893,,,,FALSE,0.1,TRUE,3,17,83.14898682,,,,N,Y,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,21.42616653,21.11159325,0.44487381,,,,FALSE,0.1,TRUE,3,17,83.14898682,,,,N,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,22.74913788,22.58736992,0.228774443,,,,FALSE,0.1,TRUE,3,17,83.00265503,,,,N,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,21.64971352,21.52074814,0.182385936,,,,FALSE,0.1,TRUE,3,17,83.00265503,,,,N,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,21.76133728,21.87731934,0.164023399,,,,FALSE,0.1,TRUE,3,19,83.00011444,,,,N,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,21.22955704,21.00858498,0.312501699,,,,FALSE,0.1,TRUE,3,17,83.00011444,,,,N,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,20.45572853,20.20188713,0.35898596,,,,FALSE,0.1,TRUE,3,17,83.14984894,,,,N,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,23.87230682,23.87133408,0.001375673,,,,FALSE,0.1,TRUE,3,20,85.68870544,,,,N,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,20.44212914,20.42871857,0.018965408,,,,FALSE,0.1,TRUE,3,16,82.85325623,,,,N,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,21.4503746,21.05856705,0.55409956,,,,FALSE,0.1,TRUE,3,18,82.85325623,,,,N,Y,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,21.87806129,21.79106522,0.123031035,,,,FALSE,0.1,TRUE,3,17,83.00175476,,,,N,N,N,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,62.6922226,,,,N,N,N,Y,N
B1,Sample 1,A,UNKNOWN,SYBR,None,21.63234138,22.41074753,1.100833893,,,,FALSE,0.1,TRUE,3,16,83.14898682,,,,N,Y,N,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,20.79701996,21.11159325,0.44487381,,,,FALSE,0.1,TRUE,3,16,82.99964905,,,,N,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,22.42560196,22.58736992,0.228774443,,,,FALSE,0.1,TRUE,3,17,83.00265503,,,,N,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,21.39178085,21.52074814,0.182385936,,,,FALSE,0.1,TRUE,3,17,82.853302,,,,N,N,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,21.99330139,21.87731934,0.164023399,,,,FALSE,0.1,TRUE,3,19,83.00011444,,,,N,N,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,20.78761292,21.00858498,0.312501699,,,,FALSE,0.1,TRUE,3,17,82.85075378,,,,N,N,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,19.94804573,20.20188713,0.35898596,,,,FALSE,0.1,TRUE,3,17,82.85116577,,,,N,N,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,23.87036133,23.87133408,0.001375673,,,,FALSE,0.1,TRUE,3,20,85.39001465,,,,N,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,20.415308,20.42871857,0.018965408,,,,FALSE,0.1,TRUE,3,16,82.85325623,,,,N,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,20.66675949,21.05856705,0.55409956,,,,FALSE,0.1,TRUE,3,17,82.70389557,,,,N,Y,N,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,21.70406914,21.79106522,0.123031035,,,,FALSE,0.1,TRUE,3,18,82.85241699,,,,N,N,N,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,21,64.18556976,,,,N,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,33.80771255,32.76928711,1.468552709,,,,FALSE,0.1,TRUE,3,29,79.26618195,,,,N,Y,N,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,23.65899849,,,,,FALSE,0.1,TRUE,3,39,73.88999176,70.00718689,60.74819183,,N,N,N,Y,Y
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,68.51472473,61.34544373,79.71673584,,N,N,N,N,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,35.78897095,,,,,FALSE,0.1,TRUE,3,38,61.04672241,79.41801453,72.24873352,,N,N,N,Y,Y
C5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,72.09642029,67.31671906,61.04336166,,N,N,N,Y,Y
C6,Sample 6,B,UNKNOWN,SYBR,None,38.24020767,38.74614716,0.715503812,,,,FALSE,0.1,TRUE,3,35,81.05836487,83.74694824,72.54451752,,N,Y,N,N,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,39.44853973,38.46490097,1.391075253,,,,FALSE,0.1,TRUE,3,34,68.06608582,,,,N,Y,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,33.76718903,,,,,FALSE,0.1,TRUE,3,39,66.1246109,61.19625092,,,N,N,Y,Y,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,37.26144791,34.78605652,3.500732183,,,,FALSE,0.1,TRUE,3,34,84.64558411,,,,N,Y,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,39.87528229,36.72615814,4.453534126,,,,FALSE,0.1,TRUE,3,35,69.41081238,61.34534454,80.91157532,,N,Y,N,N,Y
C11,Sample 11,B,UNKNOWN,SYBR,None,33.6698761,33.34354401,0.461505979,,,,FALSE,0.1,TRUE,3,30,79.11904907,,,,N,N,N,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,33.03692627,33.03692627,,,,,FALSE,0.1,TRUE,3,29,78.9697113,,,,N,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,31.73086548,32.76928711,1.468552709,,,,FALSE,0.1,TRUE,3,28,79.11684418,,,,N,Y,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,23.65899849,23.65899849,,,,,FALSE,0.1,TRUE,3,6,61.04686737,74.03932953,70.4552002,,N,N,N,N,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34544373,73.5929718,69.41088867,,N,N,N,Y,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,35.78897095,35.78897095,,,,,FALSE,0.1,TRUE,3,32,83.89881897,81.06097412,,,N,N,N,N,Y
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.64082336,72.24578857,66.12179565,,N,N,Y,Y,Y
D6,Sample 6,B,UNKNOWN,SYBR,None,39.25208282,38.74614716,0.715503812,,,,FALSE,0.1,TRUE,3,35,80.90899658,73.14198303,61.34209061,,N,Y,N,N,Y
D7,Sample 7,B,UNKNOWN,SYBR,None,37.48126221,38.46490097,1.391075253,,,,FALSE,0.1,TRUE,3,34,80.90968323,71.94903564,83.59788513,,N,Y,N,N,Y
D8,Sample 8,B,UNKNOWN,SYBR,None,33.76718903,33.76718903,,,,,FALSE,0.1,TRUE,3,30,78.96821594,,,,N,N,N,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,32.31066513,34.78605652,3.500732183,,,,FALSE,0.1,TRUE,3,29,79.11924744,83.60005951,,,N,Y,N,N,Y
D10,Sample 10,B,UNKNOWN,SYBR,None,33.577034,36.72615814,4.453534126,,,,FALSE,0.1,TRUE,3,30,79.11924744,,,,N,Y,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,33.0172081,33.34354401,0.461505979,,,,FALSE,0.1,TRUE,3,29,79.11904907,,,,N,N,N,N,N
D12,,B,NTC,SYBR,None,23.85264778,,,,,,FALSE,0.1,TRUE,3,20,80.91106415,,,,Y,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,18.28757095,18.30152512,0.019735515,,,,FALSE,0.1,TRUE,3,14,81.0582428,,,,N,N,N,N,N
E2,Sample 2,C,UNKNOWN,SYBR,None,18.69026756,18.55848312,0.186371341,,,,FALSE,0.1,TRUE,3,14,80.90890503,,,,N,N,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19608307,69.41088867,,,N,N,N,Y,Y
