Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate2_6-29-23.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-06-29 23:56:29 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19608307,79.26865387,71.50193024,,N,N,Y,Y,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,30.29388428,,,,,FALSE,0.1,TRUE,3,39,65.07623291,61.04336166,69.5572052,,N,N,N,Y,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,30.37163353,29.17346191,1.694471955,,,,FALSE,0.1,TRUE,3,26,80.90899658,,,,N,Y,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,30.32487488,,,,,FALSE,0.1,TRUE,3,39,74.18919373,60.74821854,67.46870422,,N,N,N,Y,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.36477661,61.19625092,74.03985596,,N,N,Y,Y,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,32.81206512,30.8222847,2.81397438,,,,FALSE,0.1,TRUE,3,29,80.76220703,,,,N,Y,N,N,N
E10,Sample 10,C,UNKNOWN,SYBR,None,25.9701786,25.73500061,0.332591921,,,,FALSE,0.1,TRUE,3,23,80.76220703,,,,N,N,N,N,N
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.51628113,77.02836609,73.1456604,,N,N,Y,Y,Y
E12,Sample 12,C,UNKNOWN,SYBR,None,22.41627884,22.41627884,,,,,FALSE,0.1,TRUE,3,19,80.91106415,,,,N,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,18.31548119,18.30152512,0.019735515,,,,FALSE,0.1,TRUE,3,13,81.0582428,,,,N,N,N,N,N
F2,Sample 2,C,UNKNOWN,SYBR,None,18.42669868,18.55848312,0.186371341,,,,FALSE,0.1,TRUE,3,14,81.0582428,,,,N,N,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.04672241,69.56024933,73.44361115,,N,N,N,Y,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19608307,72.24873352,66.27433014,,N,N,Y,Y,Y
F5,Sample 5,C,UNKNOWN,SYBR,None,30.29388428,30.29388428,,,,,FALSE,0.1,TRUE,3,26,81.05836487,,,,N,N,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,27.97528839,29.17346191,1.694471955,,,,FALSE,0.1,TRUE,3,24,81.05836487,,,,N,Y,N,N,N
F7,Sample 7,C,UNKNOWN,SYBR,None,30.32487488,30.32487488,,,,,FALSE,0.1,TRUE,3,27,80.90968323,,,,N,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.81280518,61.34559631,77.62411499,,N,N,Y,Y,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,28.83250427,30.8222847,2.81397438,,,,FALSE,0.1,TRUE,3,25,80.91157532,,,,N,Y,N,N,N
F10,Sample 10,C,UNKNOWN,SYBR,None,25.49982262,25.73500061,0.332591921,,,,FALSE,0.1,TRUE,3,21,80.91157532,,,,N,N,N,N,N
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.04954147,77.02836609,70.15896606,,N,N,N,Y,Y
F12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,75.23634338,,,,N,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,28.14279747,28.33877563,0.277154982,,,,FALSE,0.1,TRUE,3,24,80.16221619,,,,N,N,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,30.69074631,30.84369469,0.21630168,,,,FALSE,0.1,TRUE,3,26,80.01287842,,,,N,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,23.99732208,23.84791374,0.211295307,,,,FALSE,0.1,TRUE,3,20,80.16481781,,,,N,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,21.80570412,21.87233353,0.094229564,,,,FALSE,0.1,TRUE,3,18,80.31417847,,,,N,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,22.33446503,22.36263275,0.039833829,,,,FALSE,0.1,TRUE,3,18,80.31153107,,,,N,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,20.42042923,20.46261215,0.05965431,,,,FALSE,0.1,TRUE,3,16,80.31153107,,,,N,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,21.26273155,21.30572701,0.060804751,,,,FALSE,0.1,TRUE,3,18,80.16296387,,,,N,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,21.74731064,21.64221764,0.148623943,,,,FALSE,0.1,TRUE,3,18,80.0136261,,,,N,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,21.69941902,21.63290405,0.094067723,,,,FALSE,0.1,TRUE,3,18,80.1647644,,,,N,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,21.54538727,21.4587307,0.122550897,,,,FALSE,0.1,TRUE,3,18,80.1647644,,,,N,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,22.3035183,22.30044174,0.004352252,,,,FALSE,0.1,TRUE,3,18,80.16439056,,,,N,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,23.89801216,23.89801216,,,,,FALSE,0.1,TRUE,3,20,80.16439056,,,,N,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,28.5347538,28.33877563,0.277154982,,,,FALSE,0.1,TRUE,3,23,80.31155396,,,,N,N,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,30.99664307,30.84369469,0.21630168,,,,FALSE,0.1,TRUE,3,27,80.16221619,,,,N,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,23.6985054,23.84791374,0.211295307,,,,FALSE,0.1,TRUE,3,19,80.31417847,,,,N,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,21.93896484,21.87233353,0.094229564,,,,FALSE,0.1,TRUE,3,18,80.31417847,,,,N,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,22.39079857,22.36263275,0.039833829,,,,FALSE,0.1,TRUE,3,18,80.31153107,,,,N,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,20.50479317,20.46261215,0.05965431,,,,FALSE,0.1,TRUE,3,16,80.31153107,,,,N,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,21.34872246,21.30572701,0.060804751,,,,FALSE,0.1,TRUE,3,18,80.31230927,,,,N,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,21.53712463,21.64221764,0.148623943,,,,FALSE,0.1,TRUE,3,18,80.31230927,,,,N,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,21.56638718,21.63290405,0.094067723,,,,FALSE,0.1,TRUE,3,17,80.31413269,,,,N,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,21.37207413,21.4587307,0.122550897,,,,FALSE,0.1,TRUE,3,18,80.31413269,,,,N,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,22.29736328,22.30044174,0.004352252,,,,FALSE,0.1,TRUE,3,17,80.16439056,,,,N,N,N,N,N
H12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,70.15896606,,,,N,N,N,N,N
