Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate32_7-13-23.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,37.35553741,34.50622177,4.029539585,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,30.71346283,30.49465179,0.309444189,,,,FALSE,0.1,TRUE,3,26,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,24.14369583,24.29351425,0.211875245,,,,FALSE,0.1,TRUE,3,20,,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,27.57181168,27.78294563,0.298588514,,,,FALSE,0.1,TRUE,3,23,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,22.74146652,22.6565094,0.120147519,,,,FALSE,0.1,TRUE,3,19,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,27.57257652,27.41917801,0.216936916,,,,FALSE,0.1,TRUE,3,24,,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,25.66123581,25.82601547,0.233034983,,,,FALSE,0.1,TRUE,3,23,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,Undetermined,26.14899826,,,,,FALSE,0.1,TRUE,1,3,,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,30.86398315,31.12572098,0.370153189,,,,FALSE,0.1,TRUE,3,27,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,28.27292061,28.14430618,0.181888267,,,,FALSE,0.1,TRUE,3,24,,N,N,N
