Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate43_1-18-24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-18 18:03:23 PM EST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,EXPFAIL,MTP
B6,Sample 6,A,UNKNOWN,SYBR,None,26.65197754,26.82965088,0.2512694,,,,FALSE,0.1,TRUE,3,23,86.13563538,,,,N,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,22.46356773,22.54347801,0.113010198,,,,FALSE,0.1,TRUE,3,18,85.99121857,,,,N,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,30.4587822,30.59122086,0.187295198,,,,FALSE,0.1,TRUE,3,26,85.39373779,,,,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,24.51729965,24.63489532,0.166305393,,,,FALSE,0.1,TRUE,3,21,85.83735657,,,,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,29.35216522,29.53736115,0.261905223,,,,FALSE,0.1,TRUE,3,26,85.24005127,77.62443542,,,N,N,N,Y
B11,Sample 11,A,UNKNOWN,SYBR,None,28.9734993,29.45652008,0.683095872,,,,FALSE,0.1,TRUE,3,25,86.58590698,,,,N,Y,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,32.91371155,34.13153076,1.722259164,,,,FALSE,0.1,TRUE,3,29,83.15071106,,,,N,Y,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,38.01966858,37.24723053,1.092389703,,,,FALSE,0.1,TRUE,3,35,83.89797211,68.0667572,80.91094971,,N,Y,N,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,34.35988235,32.47666168,2.663273573,,,,FALSE,0.1,TRUE,3,31,79.41744232,,,,N,Y,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,22.52393341,22.51609993,0.011078215,,,,FALSE,0.1,TRUE,3,19,79.26834106,,,,N,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,30.92685699,30.65890694,0.378938615,,,,FALSE,0.1,TRUE,3,27,79.11901855,,,,N,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,21.66698265,21.75182343,0.119981624,,,,FALSE,0.1,TRUE,3,17,79.26533508,,,,N,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,21.22612,21.28552055,0.084005073,,,,FALSE,0.1,TRUE,3,18,79.26533508,,,,N,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,30.15274429,31.7078476,2.199248075,,,,FALSE,0.1,TRUE,3,27,79.26953125,,,,N,Y,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,26.25253677,25.25601768,1.409290791,,,,FALSE,0.1,TRUE,3,22,79.26953125,,,,N,Y,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,23.57506561,23.56681061,0.011675688,,,,FALSE,0.1,TRUE,3,20,79.26702118,,,,N,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,35.80768204,34.1595993,2.330743551,,,,FALSE,0.1,TRUE,3,33,83.14949036,61.1986084,80.61095428,,N,Y,N,Y
C11,Sample 11,B,UNKNOWN,SYBR,None,28.33535385,28.33535385,,,,,FALSE,0.1,TRUE,3,25,79.41680908,,,,N,N,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,22.21033478,22.21033478,,,,,FALSE,0.1,TRUE,3,18,79.26745605,,,,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,36.4747963,37.24723053,1.092389703,,,,FALSE,0.1,TRUE,3,33,83.89797211,81.20965576,68.81351471,,N,Y,N,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,30.59344482,32.47666168,2.663273573,,,,FALSE,0.1,TRUE,3,27,79.41744232,,,,N,Y,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,22.50826645,22.51609993,0.011078215,,,,FALSE,0.1,TRUE,3,19,79.26834106,,,,N,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,30.39095688,30.65890694,0.378938615,,,,FALSE,0.1,TRUE,3,26,79.11901855,,,,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,21.83666229,21.75182343,0.119981624,,,,FALSE,0.1,TRUE,3,18,79.26533508,,,,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,21.34492111,21.28552055,0.084005073,,,,FALSE,0.1,TRUE,3,18,79.26533508,,,,N,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,33.2629509,31.7078476,2.199248075,,,,FALSE,0.1,TRUE,3,30,79.26953125,,,,N,Y,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,24.2594986,25.25601768,1.409290791,,,,FALSE,0.1,TRUE,3,21,79.26953125,,,,N,Y,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,23.5585537,23.56681061,0.011675688,,,,FALSE,0.1,TRUE,3,19,79.11769867,,,,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,32.51151276,34.1595993,2.330743551,,,,FALSE,0.1,TRUE,3,29,78.66972351,,,,N,Y,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,28.33535385,,,,,FALSE,0.1,TRUE,3,39,61.19535065,,,,N,N,Y,N
D12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,22.21033478,,,,,FALSE,0.1,TRUE,3,39,61.34470749,,,,N,N,Y,N
E1,Sample 1,C,UNKNOWN,SYBR,None,39.00954056,36.16054535,4.029090405,,,,FALSE,0.1,TRUE,3,35,88.52785492,67.76805878,61.64466476,,N,Y,N,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,35.19656754,35.19656754,,,,,FALSE,0.1,TRUE,3,32,80.91094971,,,,N,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,29.82467842,29.76667404,0.082031928,,,,FALSE,0.1,TRUE,3,25,81.20960236,,,,N,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,30.38405418,30.0716095,0.441863507,,,,FALSE,0.1,TRUE,3,26,81.06027222,,,,N,N,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,30.80755806,31.02444839,0.306727916,,,,FALSE,0.1,TRUE,3,27,81.05758667,,,,N,N,N,N
E6,Sample 6,C,UNKNOWN,SYBR,None,31.91051483,33.89143372,2.801445007,,,,FALSE,0.1,TRUE,3,28,81.05758667,,,,N,Y,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19566727,,,,N,N,Y,N
E8,Sample 8,C,UNKNOWN,SYBR,None,34.54429626,33.6819725,1.219509959,,,,FALSE,0.1,TRUE,3,30,81.0619812,,,,N,Y,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,34.18765259,,,,,FALSE,0.1,TRUE,3,37,82.1042099,61.1986084,,,N,N,Y,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,33.81864166,33.49299622,0.460532218,,,,FALSE,0.1,TRUE,3,31,80.31230164,,,,N,N,N,N
E11,Sample 11,C,UNKNOWN,SYBR,None,33.86401367,32.90904617,1.350529313,,,,FALSE,0.1,TRUE,3,30,80.91036987,,,,N,Y,N,N
E12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,32.54991913,,,,,FALSE,0.1,TRUE,3,35,81.95586395,61.64341736,,,N,N,N,Y
F1,Sample 1,C,UNKNOWN,SYBR,None,33.31154633,36.16054535,4.029090405,,,,FALSE,0.1,TRUE,3,30,80.91094971,,,,N,Y,N,N
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,35.19656754,,,,,FALSE,0.1,TRUE,3,39,61.1966095,,,,N,N,Y,N
F3,Sample 3,C,UNKNOWN,SYBR,None,29.70866776,29.76667404,0.082031928,,,,FALSE,0.1,TRUE,3,25,81.20960236,,,,N,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,29.75916481,30.0716095,0.441863507,,,,FALSE,0.1,TRUE,3,26,81.20960236,,,,N,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,31.24133682,31.02444839,0.306727916,,,,FALSE,0.1,TRUE,3,27,81.2069397,,,,N,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,35.87235641,33.89143372,2.801445007,,,,FALSE,0.1,TRUE,3,32,81.05758667,,,,N,Y,N,N
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34503937,,,,N,N,Y,N
F8,Sample 8,C,UNKNOWN,SYBR,None,32.81964874,33.6819725,1.219509959,,,,FALSE,0.1,TRUE,3,29,81.0619812,,,,N,Y,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,34.18765259,34.18765259,,,,,FALSE,0.1,TRUE,3,30,81.05892944,,,,N,N,N,N
F10,Sample 10,C,UNKNOWN,SYBR,None,33.16735077,33.49299622,0.460532218,,,,FALSE,0.1,TRUE,3,30,80.46162415,,,,N,N,N,N
F11,Sample 11,C,UNKNOWN,SYBR,None,31.95407677,32.90904617,1.350529313,,,,FALSE,0.1,TRUE,3,29,81.0597229,,,,N,Y,N,N
F12,Sample 12,C,UNKNOWN,SYBR,None,32.54991913,32.54991913,,,,,FALSE,0.1,TRUE,3,28,81.0597229,,,,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,21.42765427,21.53540421,0.15238142,,,,FALSE,0.1,FALSE,3,15,80.0148468,,,,N,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,23.63154221,24.07777977,0.631075203,,,,FALSE,0.1,FALSE,3,15,80.0148468,,,,N,Y,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,35.36326981,35.36326981,,,,,FALSE,0.1,FALSE,3,15,80.16430664,,,,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,23.18052673,23.34100342,0.226948306,,,,FALSE,0.1,FALSE,3,15,80.16430664,,,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,29.5905571,29.46885681,0.172108844,,,,FALSE,0.1,FALSE,3,15,80.16146088,,,,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,30.26756477,30.7395668,0.667511642,,,,FALSE,0.1,FALSE,3,15,80.16146088,,,,N,Y,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,23.5719986,23.76060486,0.266729534,,,,FALSE,0.1,FALSE,3,15,80.16575623,,,,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,32.57426834,,,,,FALSE,0.1,FALSE,3,15,66.57301331,61.34503937,,,N,N,N,Y
G9,Sample 9,D,UNKNOWN,SYBR,None,30.95230675,30.25143814,0.991177917,,,,FALSE,0.1,FALSE,3,15,80.01364899,,,,N,Y,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,20.50928497,20.64727783,0.195150018,,,,FALSE,0.1,FALSE,3,15,79.56567383,,,,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,21.50899315,21.58693123,0.110221088,,,,FALSE,0.1,FALSE,3,15,80.01423645,,,,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,FALSE,3,15,68.36444855,61.49406433,,,N,N,N,Y
H1,Sample 1,D,UNKNOWN,SYBR,None,21.64315414,21.53540421,0.15238142,,,,FALSE,0.1,FALSE,3,15,80.16419983,,,,N,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,24.52401733,24.07777977,0.631075203,,,,FALSE,0.1,FALSE,3,15,80.16419983,,,,N,Y,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,35.36326981,,,,,FALSE,0.1,FALSE,3,15,81.3589325,67.91945648,61.49837494,,N,N,N,Y
H4,Sample 4,D,UNKNOWN,SYBR,None,23.5014801,23.34100342,0.226948306,,,,FALSE,0.1,FALSE,3,15,80.31363678,,,,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,29.34715843,29.46885681,0.172108844,,,,FALSE,0.1,FALSE,3,15,80.16146088,,,,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,31.21156883,30.7395668,0.667511642,,,,FALSE,0.1,FALSE,3,15,80.16146088,,,,N,Y,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,23.94921112,23.76060486,0.266729534,,,,FALSE,0.1,FALSE,3,15,80.31513214,,,,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,32.57426834,32.57426834,,,,,FALSE,0.1,FALSE,3,15,80.01638794,,,,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,29.55056953,30.25143814,0.991177917,,,,FALSE,0.1,FALSE,3,15,80.16297913,,,,N,Y,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,20.78526878,20.64727783,0.195150018,,,,FALSE,0.1,FALSE,3,15,79.71499634,,,,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,21.66486931,21.58693123,0.110221088,,,,FALSE,0.1,FALSE,3,15,80.16358948,,,,N,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,FALSE,3,15,61.19535065,,,,N,N,N,N
