Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate43_1-18-24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-18 18:03:23 PM EST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,25.6558876,24.77842522,1.240919232,,,,FALSE,0.1,TRUE,3,21,85.24213409,,,,N,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,31.20928955,30.9762764,0.329530358,,,,FALSE,0.1,TRUE,3,27,88.37850952,,,,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,22.6051693,22.50794411,0.137497187,,,,FALSE,0.1,TRUE,3,18,86.1374054,,,,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,30.38025475,29.81204987,0.803561687,,,,FALSE,0.1,TRUE,3,26,83.30018616,71.20465851,76.72977448,,N,Y,N,Y
A5,Sample 5,A,UNKNOWN,SYBR,None,32.30958939,31.41350555,1.267252564,,,,FALSE,0.1,TRUE,3,27,86.73305511,,,,N,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,27.00732613,26.82965088,0.2512694,,,,FALSE,0.1,TRUE,3,24,86.28499603,,,,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,22.62338829,22.54347801,0.113010198,,,,FALSE,0.1,TRUE,3,18,85.99121857,,,,Y,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,30.72365761,30.59122086,0.187295198,,,,FALSE,0.1,TRUE,3,27,86.28996277,,,,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,24.752491,24.63489532,0.166305393,,,,FALSE,0.1,TRUE,3,21,86.13600159,,,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,29.72255516,29.53736115,0.261905223,,,,FALSE,0.1,TRUE,3,26,84.04544067,,,,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,29.93954277,29.45652008,0.683095872,,,,FALSE,0.1,TRUE,3,27,85.83912659,,,,N,Y,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,35.34935379,34.13153076,1.722259164,,,,FALSE,0.1,TRUE,3,30,83.15071106,,,,N,Y,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,23.90096283,24.77842522,1.240919232,,,,FALSE,0.1,TRUE,3,20,84.94342804,,,,N,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,30.74326324,30.9762764,0.329530358,,,,FALSE,0.1,TRUE,3,27,88.67720795,82.55381012,,,N,N,N,Y
B3,Sample 3,A,UNKNOWN,SYBR,None,22.41071892,22.50794411,0.137497187,,,,FALSE,0.1,TRUE,3,18,85.98808289,,,,N,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,29.24384689,29.81204987,0.803561687,,,,FALSE,0.1,TRUE,3,25,87.03337097,,,,N,Y,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,30.51742363,31.41350555,1.267252564,,,,FALSE,0.1,TRUE,3,27,85.53822327,88.3759613,,,N,Y,N,Y
