Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate71_3-25-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-25 23:45:26 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A2,Sample 2,A,UNKNOWN,SYBR,None,28.55964851,29.18232346,0.880596697,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,31.69915962,33.01300812,1.858063698,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,31.29523468,31.43368149,0.195792004,,,,FALSE,0.1,TRUE,3,28,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,33.78135681,33.49459076,0.405545741,,,,FALSE,0.1,TRUE,3,31,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,20.62805939,20.67253113,0.062891193,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,32.85100937,33.73568726,1.251120806,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,20.19068909,20.39888,0.29442507,,,,FALSE,0.1,TRUE,3,17,,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,22.34205818,22.08065414,0.36968115,,,,FALSE,0.1,TRUE,3,18,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,32.57883072,33.21841431,0.904507756,,,,FALSE,0.1,TRUE,3,29,,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,29.08392906,30.11058807,1.451915145,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,30.33984947,29.92922974,0.580702662,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B2,Sample 2,A,UNKNOWN,SYBR,None,29.80500031,29.18232346,0.880596697,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,34.32685852,33.01300812,1.858063698,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,31.57212639,31.43368149,0.195792004,,,,FALSE,0.1,TRUE,3,27,,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,33.20782852,33.49459076,0.405545741,,,,FALSE,0.1,TRUE,3,30,,N,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,20.71700096,20.67253113,0.062891193,,,,FALSE,0.1,TRUE,3,17,,N,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,34.62036133,33.73568726,1.251120806,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,20.60706902,20.39888,0.29442507,,,,FALSE,0.1,TRUE,3,17,,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,21.81925011,22.08065414,0.36968115,,,,FALSE,0.1,TRUE,3,18,,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,33.85799789,33.21841431,0.904507756,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,31.13724709,30.11058807,1.451915145,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
B12,Sample 12,A,UNKNOWN,SYBR,None,29.51861191,29.92922974,0.580702662,,,,FALSE,0.1,TRUE,3,26,,Y,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C2,Sample 2,B,UNKNOWN,SYBR,None,28.64556313,28.81297493,0.236756042,,,,FALSE,0.1,TRUE,3,26,,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,32.22357941,32.22357941,,,,,FALSE,0.1,TRUE,3,28,,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,37.58811188,37.08934784,0.705356181,,,,FALSE,0.1,TRUE,3,34,,Y,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,37.31603241,38.27690887,1.358884573,,,,FALSE,0.1,TRUE,3,34,,Y,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,33.74509048,33.74509048,,,,,FALSE,0.1,TRUE,3,30,,N,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C8,Sample 8,B,UNKNOWN,SYBR,None,35.95184326,35.95184326,,,,,FALSE,0.1,TRUE,3,32,,N,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,38.20077515,38.20077515,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,36.99590683,37.11437225,0.167535409,,,,FALSE,0.1,TRUE,3,33,,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,38.45139694,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C12,Sample 12,B,UNKNOWN,SYBR,None,38.00801086,38.00801086,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,28.98038673,28.81297493,0.236756042,,,,FALSE,0.1,TRUE,3,26,,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,32.22357941,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,36.59058762,37.08934784,0.705356181,,,,FALSE,0.1,TRUE,3,33,,Y,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,39.23778534,38.27690887,1.358884573,,,,FALSE,0.1,TRUE,3,35,,Y,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,33.74509048,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,35.95184326,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,38.20077515,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D10,Sample 10,B,UNKNOWN,SYBR,None,37.23283768,37.11437225,0.167535409,,,,FALSE,0.1,TRUE,3,33,,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,38.45139694,38.45139694,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
D12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,38.00801086,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,28.33089066,28.56735229,0.334408611,,,,FALSE,0.1,TRUE,3,25,,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E4,Sample 4,C,UNKNOWN,SYBR,None,33.96689606,33.96689606,,,,,FALSE,0.1,TRUE,3,31,,N,N,N
