Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate15_7-7-23.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-07 11:57:54 AM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,37,,N,N,N,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,39.50046158,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D5,Sample 5,B,UNKNOWN,SYBR,None,27.71355247,28.03407669,0.453288347,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,39.98203278,36.30500793,5.200098515,,,,FALSE,0.1,TRUE,3,37,,N,Y,N,Y
D7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,32.26917267,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
D8,Sample 8,B,UNKNOWN,SYBR,None,21.42066193,21.37629509,0.062744185,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,21.33470345,21.13582611,0.281255037,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,27.21594048,27.05514336,0.227401465,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,21.7618351,21.35396957,0.5768103,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
D12,Sample 12,B,UNKNOWN,SYBR,None,21.2278347,21.26027584,0.0458787,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,29.95639801,29.76461792,0.271219343,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,33.0190773,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,30.74629402,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,36.02116776,36.02116776,,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,33.66873932,33.66873932,,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,31.31705475,31.81666374,0.706553817,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,N
E12,Sample 12,C,UNKNOWN,SYBR,None,38.75622177,38.75622177,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,29.57283592,29.76461792,0.271219343,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,33.0190773,33.0190773,,,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,30.74629402,30.74629402,,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,36.02116776,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,33.66873932,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,32.31627274,31.81666374,0.706553817,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
F12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,38.75622177,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,21.15924263,21.5282135,0.521804929,,,,FALSE,0.1,TRUE,3,17,,Y,Y,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,20.87599182,20.98732185,0.157444447,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,21.16917229,21.2824688,0.160225466,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,20.59610748,20.79464531,0.280774891,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,21.6757412,21.68572235,0.014115485,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,21.15805817,20.9857254,0.24371399,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,21.63389778,21.78256226,0.210244671,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,33.15000534,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G9,Sample 9,D,UNKNOWN,SYBR,None,22.15826797,21.97505951,0.259095907,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,20.49585342,20.47256851,0.032928489,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,23.84947586,23.98093605,0.185912788,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,21.92567444,21.83992195,0.121272334,,,,FALSE,0.1,TRUE,3,19,,Y,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,21.89718628,21.5282135,0.521804929,,,,FALSE,0.1,TRUE,3,17,,Y,Y,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,21.09865189,20.98732185,0.157444447,,,,FALSE,0.1,TRUE,3,17,,Y,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,21.3957653,21.2824688,0.160225466,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,20.99318314,20.79464531,0.280774891,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,21.69570351,21.68572235,0.014115485,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,20.81339455,20.9857254,0.24371399,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,21.93122864,21.78256226,0.210244671,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,33.15000534,33.15000534,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,21.79185104,21.97505951,0.259095907,,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,20.44928551,20.47256851,0.032928489,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,24.11239624,23.98093605,0.185912788,,,,FALSE,0.1,TRUE,3,21,,N,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,21.75416946,21.83992195,0.121272334,,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
