Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate1_6-29-23.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-06-29 21:31:42 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,EXPFAIL,,,,,
C12,Sample 12,B,UNKNOWN,SYBR,None,33.17344284,33.10518456,0.096531792,,,,FALSE,0.1,TRUE,3,30,,N,N,N,,,,,
D1,Sample 1,B,UNKNOWN,SYBR,None,31.1842804,31.1842804,,,,,FALSE,0.1,TRUE,3,28,,N,N,N,,,,,
D2,Sample 2,B,UNKNOWN,SYBR,None,29.7345829,30.14455414,0.579788208,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,,,,,
D3,Sample 3,B,UNKNOWN,SYBR,None,29.87329102,30.73240662,1.214972973,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,,,,,
D4,Sample 4,B,UNKNOWN,SYBR,None,31.74925423,31.74925423,,,,,FALSE,0.1,TRUE,3,28,,N,N,N,,,,,
D5,Sample 5,B,UNKNOWN,SYBR,None,31.76931953,31.49917603,0.382041961,,,,FALSE,0.1,TRUE,3,27,,N,N,N,,,,,
D6,Sample 6,B,UNKNOWN,SYBR,None,34.13220596,33.55368423,0.818153262,,,,FALSE,0.1,TRUE,3,31,,N,Y,N,,,,,
D7,Sample 7,B,UNKNOWN,SYBR,None,30.27370453,29.86021423,0.584764957,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,,,,,
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,,,,,
D9,Sample 9,B,UNKNOWN,SYBR,None,33.65053177,32.62533188,1.449851632,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,,,,,
D10,Sample 10,B,UNKNOWN,SYBR,None,31.36118889,31.94469452,0.825202942,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,,,,,
D11,Sample 11,B,UNKNOWN,SYBR,None,33.48402786,32.7326889,1.062556386,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,,,,,
D12,Sample 12,B,UNKNOWN,SYBR,None,33.03692627,33.10518456,0.096531792,,,,FALSE,0.1,TRUE,3,29,78.9697113,,,,N,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,19.402174,19.41947174,0.024462705,,,,FALSE,0.1,TRUE,3,15,,N,N,N,,,,,
E2,Sample 3,C,UNKNOWN,SYBR,None,18.76171684,18.70115471,0.085647792,,,,FALSE,0.1,TRUE,3,15,,N,N,N,,,,,
E3,Sample 2,C,UNKNOWN,SYBR,None,20.47411728,20.37704086,0.137286782,,,,FALSE,0.1,TRUE,3,17,,N,N,N,,,,,
E4,Sample 4,C,UNKNOWN,SYBR,None,17.99140739,18.09393311,0.144993246,,,,FALSE,0.1,TRUE,3,15,,N,N,N,,,,,
E5,Sample 5,C,UNKNOWN,SYBR,None,18.31369781,18.42274857,0.154221058,,,,FALSE,0.1,TRUE,3,14,,N,N,N,,,,,
E6,Sample 6,C,UNKNOWN,SYBR,None,21.3632946,21.47001266,0.150920779,,,,FALSE,0.1,TRUE,3,17,,N,N,N,,,,,
E7,Sample 7,C,UNKNOWN,SYBR,None,18.52841759,18.65809631,0.183392063,,,,FALSE,0.1,TRUE,3,16,,N,N,N,,,,,
E8,Sample 8,C,UNKNOWN,SYBR,None,18.39426613,18.49939728,0.1486779,,,,FALSE,0.1,TRUE,3,15,,N,N,N,,,,,
E9,Sample 9,C,UNKNOWN,SYBR,None,17.61109161,17.71312904,0.144302711,,,,FALSE,0.1,TRUE,3,14,,N,N,N,,,,,
E10,Sample 10,C,UNKNOWN,SYBR,None,18.44665337,19.21756935,1.090239882,,,,FALSE,0.1,TRUE,3,15,,N,Y,N,,,,,
E11,Sample 11,C,UNKNOWN,SYBR,None,18.3956852,18.3741188,0.030500831,,,,FALSE,0.1,TRUE,3,15,,N,N,N,,,,,
E12,Sample 12,C,UNKNOWN,SYBR,None,21.48518562,21.95073223,0.65838233,,,,FALSE,0.1,TRUE,3,17,,N,N,N,,,,,
F1,Sample 1,C,UNKNOWN,SYBR,None,19.43676949,19.41947174,0.024462705,,,,FALSE,0.1,TRUE,3,16,,N,N,N,,,,,
F2,Sample 3,C,UNKNOWN,SYBR,None,18.64059258,18.70115471,0.085647792,,,,FALSE,0.1,TRUE,3,15,,N,N,N,,,,,
F3,Sample 2,C,UNKNOWN,SYBR,None,20.27996445,20.37704086,0.137286782,,,,FALSE,0.1,TRUE,3,17,,N,N,N,,,,,
F4,Sample 4,C,UNKNOWN,SYBR,None,18.19645882,18.09393311,0.144993246,,,,FALSE,0.1,TRUE,3,14,,N,N,N,,,,,
F5,Sample 5,C,UNKNOWN,SYBR,None,18.53179932,18.42274857,0.154221058,,,,FALSE,0.1,TRUE,3,13,,N,N,N,,,,,
F6,Sample 6,C,UNKNOWN,SYBR,None,21.57672882,21.47001266,0.150920779,,,,FALSE,0.1,TRUE,3,18,,N,N,N,,,,,
F7,Sample 7,C,UNKNOWN,SYBR,None,18.78777313,18.65809631,0.183392063,,,,FALSE,0.1,TRUE,3,16,,N,N,N,,,,,
F8,Sample 8,C,UNKNOWN,SYBR,None,18.60452843,18.49939728,0.1486779,,,,FALSE,0.1,TRUE,3,15,,N,N,N,,,,,
F9,Sample 9,C,UNKNOWN,SYBR,None,17.81516647,17.71312904,0.144302711,,,,FALSE,0.1,TRUE,3,14,,N,N,N,,,,,
F10,Sample 10,C,UNKNOWN,SYBR,None,19.98848534,19.21756935,1.090239882,,,,FALSE,0.1,TRUE,3,17,,N,Y,N,,,,,
F11,Sample 11,C,UNKNOWN,SYBR,None,18.35255051,18.3741188,0.030500831,,,,FALSE,0.1,TRUE,3,15,,N,N,N,,,,,
F12,Sample 12,C,UNKNOWN,SYBR,None,22.41627884,21.95073223,0.65838233,,,,FALSE,0.1,TRUE,3,19,80.91106415,,,,N,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,31.74308395,31.74308395,,,,,FALSE,0.1,TRUE,3,28,,N,N,N,,,,,
G2,Sample 2,D,UNKNOWN,SYBR,None,20.89125824,21.17514801,0.401480764,,,,FALSE,0.1,TRUE,3,18,,N,N,N,,,,,
G3,Sample 3,D,UNKNOWN,SYBR,None,32.1679039,31.98293304,0.261588305,,,,FALSE,0.1,TRUE,3,28,,N,N,N,,,,,
G4,Sample 4,D,UNKNOWN,SYBR,None,31.21069527,31.83768845,0.886700928,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,,,,,
G5,Sample 5,D,UNKNOWN,SYBR,None,30.35568428,30.61865997,0.371903777,,,,FALSE,0.1,TRUE,3,26,,N,N,N,,,,,
G6,Sample 6,D,UNKNOWN,SYBR,None,20.93890762,21.23028374,0.412068039,,,,FALSE,0.1,TRUE,3,17,,N,N,N,,,,,
G7,Sample 7,D,UNKNOWN,SYBR,None,23.33948517,23.39463806,0.077996619,,,,FALSE,0.1,TRUE,3,19,,N,N,N,,,,,
G8,Sample 8,D,UNKNOWN,SYBR,None,31.15716934,30.51083374,0.914056599,,,,FALSE,0.1,TRUE,3,28,,N,Y,N,,,,,
G9,Sample 9,D,UNKNOWN,SYBR,None,29.99039841,29.93271255,0.081578769,,,,FALSE,0.1,TRUE,3,26,,N,N,N,,,,,
G10,Sample 10,D,UNKNOWN,SYBR,None,33.58128357,33.58128357,,,,,FALSE,0.1,TRUE,3,30,,N,N,N,,,,,
G11,Sample 11,D,UNKNOWN,SYBR,None,27.80202293,27.7005043,0.143567681,,,,FALSE,0.1,TRUE,3,23,,N,N,N,,,,,
G12,Sample 12,D,UNKNOWN,SYBR,None,24.28754997,24.09278107,0.275444827,,,,FALSE,0.1,TRUE,3,21,,N,N,N,,,,,
H1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,31.74308395,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,,,,,
H2,Sample 2,D,UNKNOWN,SYBR,None,21.45903778,21.17514801,0.401480764,,,,FALSE,0.1,TRUE,3,18,,N,N,N,,,,,
H3,Sample 3,D,UNKNOWN,SYBR,None,31.79796219,31.98293304,0.261588305,,,,FALSE,0.1,TRUE,3,28,,N,N,N,,,,,
H4,Sample 4,D,UNKNOWN,SYBR,None,32.46467972,31.83768845,0.886700928,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,,,,,
H5,Sample 5,D,UNKNOWN,SYBR,None,30.88163567,30.61865997,0.371903777,,,,FALSE,0.1,TRUE,3,27,,N,N,N,,,,,
H6,Sample 6,D,UNKNOWN,SYBR,None,21.52165985,21.23028374,0.412068039,,,,FALSE,0.1,TRUE,3,18,,N,N,N,,,,,
H7,Sample 7,D,UNKNOWN,SYBR,None,23.44978905,23.39463806,0.077996619,,,,FALSE,0.1,TRUE,3,20,,N,N,N,,,,,
H8,Sample 8,D,UNKNOWN,SYBR,None,29.86449814,30.51083374,0.914056599,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,,,,,
H9,Sample 9,D,UNKNOWN,SYBR,None,29.87502861,29.93271255,0.081578769,,,,FALSE,0.1,TRUE,3,26,,N,N,N,,,,,
H10,Sample 10,D,UNKNOWN,SYBR,None,Undetermined,33.58128357,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,,,,,
H11,Sample 11,D,UNKNOWN,SYBR,None,27.59898758,27.7005043,0.143567681,,,,FALSE,0.1,TRUE,3,23,,N,N,N,,,,,
H12,Sample 12,D,UNKNOWN,SYBR,None,23.89801216,24.09278107,0.275444827,,,,FALSE,0.1,TRUE,3,20,80.16439056,,,,N,N,N,N,N
