Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate42_1-17-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-17 14:36:45 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOISE,SPIKE,EXPFAIL,MTP
C8,Sample 8,B,UNKNOWN,SYBR,None,23.57460976,23.72005081,0.205686063,,,,FALSE,0.1,TRUE,3,19,79.26741028,,,,N,N,N,N,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,24.44661331,24.55602264,0.154729515,,,,FALSE,0.1,TRUE,3,21,79.26761627,,,,N,N,N,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,32.73186111,32.21509552,0.730815589,,,,FALSE,0.1,TRUE,3,29,79.41697693,,,,N,Y,N,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,21.67554092,21.3308754,0.487430662,,,,FALSE,0.1,TRUE,3,18,79.26959229,,,,N,N,N,N,N,N
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34931946,66.72540283,,,N,N,N,N,N,Y
D1,Sample 1,B,UNKNOWN,SYBR,None,22.89522362,22.91386032,0.026357628,,,,FALSE,0.1,TRUE,3,19,79.26692963,,,,N,N,N,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,21.23324013,21.28675079,0.07567551,,,,FALSE,0.1,TRUE,3,18,79.11756897,,,,N,N,N,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,33.68709564,,,,,FALSE,0.1,TRUE,3,39,61.19777679,,,,N,N,N,N,Y,N
D4,Sample 4,B,UNKNOWN,SYBR,None,21.74311066,21.94470215,0.285094768,,,,FALSE,0.1,TRUE,3,19,79.2687912,,,,N,N,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,22.8743782,23.08185577,0.293416232,,,,FALSE,0.1,TRUE,3,19,79.12008667,,,,N,N,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,22.12577248,22.0579071,0.095976129,,,,FALSE,0.1,TRUE,3,19,79.12008667,,,,N,N,N,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,21.94460297,21.47267532,0.667407811,,,,FALSE,0.1,TRUE,3,20,79.26741028,,,,N,Y,N,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,23.86549377,23.72005081,0.205686063,,,,FALSE,0.1,TRUE,3,20,79.26741028,,,,N,N,N,N,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,24.66543388,24.55602264,0.154729515,,,,FALSE,0.1,TRUE,3,21,79.26761627,,,,N,N,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,31.69833183,32.21509552,0.730815589,,,,FALSE,0.1,TRUE,3,28,79.41697693,,,,N,Y,N,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,20.98620987,21.3308754,0.487430662,,,,FALSE,0.1,TRUE,3,18,79.26959229,,,,N,N,N,N,N,N
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34931946,67.32274628,,,N,N,N,N,N,Y
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,34.66597366,,,,,TRUE,0.039755462,TRUE,3,38,,,,,N,N,N,N,Y,N
E2,Sample 2,C,UNKNOWN,SYBR,None,37.12592697,34.99372864,3.015386581,,,,TRUE,0.039755462,TRUE,3,35,81.9553833,88.07907104,68.66248322,,N,Y,N,N,N,Y
E3,Sample 3,C,UNKNOWN,SYBR,None,19.72263908,19.8066597,0.118824445,,,,TRUE,0.039755462,TRUE,3,18,81.21030426,,,,N,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,33.01140213,,,,,TRUE,0.039755462,TRUE,3,39,67.4703598,61.64582062,81.06095886,,N,N,N,N,Y,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,33.77414322,32.86086655,1.291569591,,,,TRUE,0.039755462,TRUE,3,31,80.9119873,,,,N,Y,N,N,N,N
E6,Sample 6,C,UNKNOWN,SYBR,None,29.66057396,30.39063454,1.032461524,,,,TRUE,0.039755462,TRUE,3,28,81.06130981,,,,N,Y,N,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,30.27057648,30.47587395,0.290334463,,,,TRUE,0.039755462,TRUE,3,28,81.0594635,,,,N,N,N,N,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,31.80089951,31.55587387,0.346518576,,,,TRUE,0.039755462,TRUE,3,29,81.0594635,,,,N,N,N,N,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.039755462,TRUE,3,36,87.18376923,82.40420532,,,N,N,N,N,N,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,29.58093643,29.77321243,0.27191934,,,,TRUE,0.039755462,TRUE,3,27,81.05995178,,,,N,N,N,N,N,N
E11,Sample 11,C,UNKNOWN,SYBR,None,31.02569389,30.76390457,0.370227367,,,,TRUE,0.039755462,TRUE,3,29,81.06162262,,,,N,N,N,N,N,N
