Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate10_7-5-23.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-05 16:51:36 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,31.18629837,31.039114,0.208150133,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,29.90195274,29.73383713,0.237750039,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,29.91497421,30.24749184,0.470250934,,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,26.95028496,26.87474823,0.106825069,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,28.38142586,28.35818291,0.032870498,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,25.3635025,24.93546295,0.605339348,,,,FALSE,0.1,TRUE,3,22,,N,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,30.71578789,30.66179657,0.076355256,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,31.14949799,30.41974831,1.03202188,,,,FALSE,0.1,TRUE,3,27,,N,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,33.85575485,31.62880516,3.149382353,,,,FALSE,0.1,TRUE,3,29,,N,Y,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,30.15660477,29.66258812,0.698645055,,,,FALSE,0.1,TRUE,3,26,,N,Y,N,N
