Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate26_7-11-23.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,29.22208786,28.51286888,1.002987146,,,,FALSE,0.1,TRUE,3,25,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,29.84779167,29.54672241,0.425774872,,,,FALSE,0.1,TRUE,3,26,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,31.40963364,31.85933113,0.635968268,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,31.56616592,32.93011093,1.92890954,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,31.99338722,35.01279831,4.27009058,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,27.7181778,27.54032135,0.251528352,,,,FALSE,0.1,TRUE,3,23,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,26.57024765,27.02235031,0.639369726,,,,FALSE,0.1,TRUE,3,22,,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,28.64605904,28.43707848,0.295543134,,,,FALSE,0.1,TRUE,3,25,,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,26.37421036,25.96492767,0.578811765,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,21.58340073,21.21494675,0.521071255,,,,FALSE,0.1,TRUE,3,17,,Y,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,27.8036499,28.51286888,1.002987146,,,,FALSE,0.1,TRUE,3,24,,Y,N,N
B2,Sample 2,A,UNKNOWN,SYBR,None,29.24565506,29.54672241,0.425774872,,,,FALSE,0.1,TRUE,3,26,,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,32.30902863,31.85933113,0.635968268,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B5,Sample 5,A,UNKNOWN,SYBR,None,34.29405594,32.93011093,1.92890954,,,,FALSE,0.1,TRUE,3,30,,Y,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,38.03220749,35.01279831,4.27009058,,,,FALSE,0.1,TRUE,3,34,,Y,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,27.362463,27.54032135,0.251528352,,,,FALSE,0.1,TRUE,3,23,,N,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,27.47445297,27.02235031,0.639369726,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,28.22809792,28.43707848,0.295543134,,,,FALSE,0.1,TRUE,3,25,,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,25.5556469,25.96492767,0.578811765,,,,FALSE,0.1,TRUE,3,23,,Y,N,N
B11,Sample 11,A,UNKNOWN,SYBR,None,20.84649467,21.21494675,0.521071255,,,,FALSE,0.1,TRUE,3,18,,Y,N,N
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,31.83998489,31.13376236,0.998749495,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,19.66179657,19.58264923,0.111931242,,,,FALSE,0.1,TRUE,3,16,,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C4,Sample 4,B,UNKNOWN,SYBR,None,38.86065292,38.86065292,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,39.92498016,39.92498016,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,34.76076126,33.16513824,2.256553173,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
C7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,31.85509872,31.75174332,0.146167964,,,,FALSE,0.1,TRUE,3,28,,N,N,N
C9,Sample 9,B,UNKNOWN,SYBR,None,35.33280563,34.26338959,1.512380004,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
