Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\UrbanPopgen_Plate60_3-24-24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-24 12:47:52 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,34.64237976,34.64237976,,,,,FALSE,0.1,TRUE,3,30,87.47972107,71.34656525,,,N,N,N,Y
A2,Sample 2,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.80708313,,,,N,Y,Y,N
A3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,33.88046265,,,,,FALSE,0.1,TRUE,3,39,67.31967926,61.19764328,,,N,Y,Y,Y
A4,Sample 4,A,UNKNOWN,SYBR,None,26.87273026,26.83374786,0.055130776,,,,FALSE,0.1,TRUE,3,23,87.62693024,,,,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,66.71987915,,,,N,Y,Y,N
A6,Sample 6,A,UNKNOWN,SYBR,None,29.42931557,28.92955589,0.706766903,,,,FALSE,0.1,TRUE,3,26,88.52670288,84.49393463,,,Y,N,N,Y
A7,Sample 7,A,UNKNOWN,SYBR,None,26.68358612,26.68287659,0.001002083,,,,FALSE,0.1,TRUE,3,23,87.48407745,,,,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,20.23170662,20.48114204,0.352754951,,,,FALSE,0.1,TRUE,3,16,84.49671936,,,,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,32.33886719,32.33886719,,,,,FALSE,0.1,TRUE,3,29,86.1415863,,,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,31.50185013,31.85315704,0.496823013,,,,FALSE,0.1,TRUE,3,28,87.33641815,,,,N,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,25.25934219,26.85040283,2.250100851,,,,FALSE,0.1,TRUE,3,21,83.15285492,,,,Y,N,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,34.50083923,33.90885925,0.837183416,,,,FALSE,0.1,TRUE,3,31,83.15285492,,,,Y,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,Undetermined,34.64237976,,,,,FALSE,0.1,TRUE,3,39,66.41698456,,,,N,Y,Y,N
B2,Sample 2,A,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,60.59112167,,,,N,Y,Y,N
