Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate22_7-10-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-10 20:17:45 PM PDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,38.04581833,35.01530838,4.285788059,,,,FALSE,0.1,TRUE,3,34,81.95587158,,,,Y,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,21.20219231,20.88085175,0.45444417,,,,FALSE,0.1,TRUE,3,17,84.64448547,,,,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,34.890728,32.84705353,2.89019227,,,,FALSE,0.1,TRUE,3,31,81.51063538,84.79634094,,,Y,N,N,Y
A4,Sample 4,A,UNKNOWN,SYBR,None,31.97647476,32.81873322,1.191136003,,,,FALSE,0.1,TRUE,3,29,85.24438477,,,,Y,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,31.22924042,31.8532753,0.882518589,,,,FALSE,0.1,TRUE,3,28,84.64404297,,,,Y,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,30.86241341,31.84996796,1.396614432,,,,FALSE,0.1,TRUE,3,27,87.92979431,,,,Y,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,29.22078896,29.16927338,0.072852679,,,,FALSE,0.1,TRUE,3,25,87.63098145,,,,N,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,34.66991806,34.5375824,0.187150896,,,,FALSE,0.1,TRUE,3,31,83.15071869,,,,N,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,30.65011978,30.66321945,0.018525731,,,,FALSE,0.1,TRUE,3,27,87.78152466,,,,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,33.69770432,35.6918869,2.820197344,,,,FALSE,0.1,TRUE,3,30,84.79467773,,,,Y,N,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,36.40994263,37.9083786,2.119108438,,,,FALSE,0.1,TRUE,3,32,81.35909271,,,,Y,N,N,N
A12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49420166,,,,N,N,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,31.98479843,35.01530838,4.285788059,,,,FALSE,0.1,TRUE,3,29,84.64448547,87.33310699,62.98615646,,Y,N,N,Y
B2,Sample 2,A,UNKNOWN,SYBR,None,20.55951118,20.88085175,0.45444417,,,,FALSE,0.1,TRUE,3,16,84.49511719,,,,N,N,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,30.80337906,32.84705353,2.89019227,,,,FALSE,0.1,TRUE,3,27,86.88723755,,,,Y,N,N,N
B4,Sample 4,A,UNKNOWN,SYBR,None,33.66099548,32.81873322,1.191136003,,,,FALSE,0.1,TRUE,3,31,84.94568634,,,,Y,N,N,N
B5,Sample 5,A,UNKNOWN,SYBR,None,32.47731018,31.8532753,0.882518589,,,,FALSE,0.1,TRUE,3,29,84.49468994,90.17007446,,,Y,N,N,Y
B6,Sample 6,A,UNKNOWN,SYBR,None,32.83752441,31.84996796,1.396614432,,,,FALSE,0.1,TRUE,3,29,89.1246109,74.48808289,,,Y,N,N,Y
B7,Sample 7,A,UNKNOWN,SYBR,None,29.1177597,29.16927338,0.072852679,,,,FALSE,0.1,TRUE,3,25,84.19611359,88.37769318,,,N,N,N,Y
B8,Sample 8,A,UNKNOWN,SYBR,None,34.40524673,34.5375824,0.187150896,,,,FALSE,0.1,TRUE,3,30,84.34545898,,,,N,N,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,30.67631912,30.66321945,0.018525731,,,,FALSE,0.1,TRUE,3,26,88.0802002,,,,N,N,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,37.68606567,35.6918869,2.820197344,,,,FALSE,0.1,TRUE,3,34,83.89862823,61.34797668,66.42560577,,Y,N,N,Y
B11,Sample 11,A,UNKNOWN,SYBR,None,39.40681458,37.9083786,2.119108438,,,,FALSE,0.1,TRUE,3,35,81.20973206,61.64356232,,,Y,N,N,Y
B12,,A,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.64356232,,,,N,N,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,21.12273407,20.93895912,0.259897023,,,,FALSE,0.1,TRUE,3,18,79.11787415,,,,N,N,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,29.2183876,29.34617615,0.180721641,,,,FALSE,0.1,TRUE,3,25,79.26724243,,,,N,N,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,21.47949982,21.58573341,0.150236994,,,,FALSE,0.1,TRUE,3,18,79.12103271,,,,N,N,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,31.55187035,,,,,FALSE,0.1,TRUE,3,39,61.49770355,79.86778259,73.14701843,,N,N,Y,Y
C5,Sample 5,B,UNKNOWN,SYBR,None,29.58603477,29.96060181,0.529719114,,,,FALSE,0.1,TRUE,3,26,79.26735687,,,,Y,N,N,N
C6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34506989,79.71540833,,,N,N,Y,Y
C7,Sample 7,B,UNKNOWN,SYBR,None,33.30500031,33.30500031,,,,,FALSE,0.1,TRUE,3,10,,,,,N,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,66.87243652,79.71585083,,,N,N,Y,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,34.26812744,,,,,FALSE,0.1,TRUE,3,39,,,,,N,N,Y,N
C10,Sample 10,B,UNKNOWN,SYBR,None,29.34256172,29.64499664,0.427707553,,,,FALSE,0.1,TRUE,3,26,79.26902771,,,,N,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,29.33911133,30.26559448,1.310243726,,,,FALSE,0.1,TRUE,3,26,79.26805115,,,,Y,N,N,N
C12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49420166,,,,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,20.75518417,20.93895912,0.259897023,,,,FALSE,0.1,TRUE,3,17,79.11787415,,,,N,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,29.4739666,29.34617615,0.180721641,,,,FALSE,0.1,TRUE,3,26,79.26724243,,,,N,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,21.69196701,21.58573341,0.150236994,,,,FALSE,0.1,TRUE,3,18,79.12103271,,,,N,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,31.55187035,31.55187035,,,,,FALSE,0.1,TRUE,3,28,79.27037811,,,,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,30.33517075,29.96060181,0.529719114,,,,FALSE,0.1,TRUE,3,27,79.26735687,,,,Y,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34506989,,,,N,N,Y,N
D7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,33.30500031,,,,,FALSE,0.1,TRUE,3,39,67.61914063,,,,N,N,Y,N
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49612045,79.56651306,,,N,N,Y,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,34.26812744,34.26812744,,,,,FALSE,0.1,TRUE,3,29,79.11968231,,,,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,29.94743156,29.64499664,0.427707553,,,,FALSE,0.1,TRUE,3,27,79.11968231,,,,N,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,31.19207573,30.26559448,1.310243726,,,,FALSE,0.1,TRUE,3,27,79.26805115,,,,Y,N,N,N
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.64356232,,,,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,32.6199646,32.6199646,,,,,FALSE,0.1,TRUE,3,29,81.05966187,,,,N,N,N,N
E2,Sample 2,C,UNKNOWN,SYBR,None,31.53036118,31.46418381,0.093587585,,,,FALSE,0.1,TRUE,3,28,80.91029358,,,,N,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,38.63414764,34.8058548,5.414022446,,,,FALSE,0.1,TRUE,3,35,82.10803223,61.49770355,,,Y,N,N,Y
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34835052,80.01712799,,,N,N,Y,Y
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34506989,79.71540833,,,N,Y,Y,Y
E6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34506989,79.26735687,,,N,N,Y,Y
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.0480957,79.41716766,67.46980286,,N,N,Y,Y
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34677887,79.71585083,67.91783142,,N,N,Y,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,79.86639404,,,,N,N,Y,N
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.1986351,,,,N,N,Y,N
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.344841,79.71613312,,,N,N,Y,Y
E12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.94228363,,,,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,32.6199646,,,,,FALSE,0.1,TRUE,3,39,61.34310913,81.65713501,,,N,N,Y,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,31.39800835,31.46418381,0.093587585,,,,FALSE,0.1,TRUE,3,27,80.91029358,,,,N,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,30.97756386,34.8058548,5.414022446,,,,FALSE,0.1,TRUE,3,28,81.06258392,,,,Y,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34835052,79.71842957,,,N,N,Y,Y
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49442291,,,,N,N,Y,N
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19571686,,,,N,N,Y,N
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34677887,,,,N,Y,Y,N
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19743729,73.59282684,67.61914063,,N,N,Y,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.32165527,,,,N,N,Y,N
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34797668,,,,N,N,Y,N
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.344841,79.56677246,,,N,N,Y,Y
F12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.344841,,,,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34310913,,,,N,N,Y,N
G2,Sample 2,D,UNKNOWN,SYBR,None,23.18477249,23.2671833,0.116546489,,,,FALSE,0.1,TRUE,3,20,80.16345215,,,,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,Undetermined,32.47620773,,,,,FALSE,0.1,TRUE,3,39,61.34835052,,,,N,N,Y,N
G4,Sample 4,D,UNKNOWN,SYBR,None,21.5230484,21.76028824,0.335506439,,,,FALSE,0.1,TRUE,3,18,80.16648102,,,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,22.81954193,23.07869911,0.366503596,,,,FALSE,0.1,TRUE,3,19,80.16346741,,,,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,23.26547623,23.37732124,0.158172742,,,,FALSE,0.1,TRUE,3,19,80.01411438,,,,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,22.86483574,23.05669022,0.271323204,,,,FALSE,0.1,TRUE,3,19,80.014534,,,,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,22.82418633,22.98827171,0.232051775,,,,FALSE,0.1,TRUE,3,19,80.014534,,,,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,23.49925423,23.90891266,0.579344511,,,,FALSE,0.1,TRUE,3,20,80.16507721,,,,Y,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,22.70329094,22.97974586,0.390966296,,,,FALSE,0.1,TRUE,3,20,80.16507721,,,,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,21.90937996,22.05496979,0.205896452,,,,FALSE,0.1,TRUE,3,19,80.16421509,,,,N,N,N,N
G12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.79292297,,,,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34310913,,,,N,N,Y,N
H2,Sample 2,D,UNKNOWN,SYBR,None,23.34959412,23.2671833,0.116546489,,,,FALSE,0.1,TRUE,3,20,80.31282043,,,,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,32.47620773,32.47620773,,,,,FALSE,0.1,TRUE,3,29,80.16648102,,,,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,21.99752617,21.76028824,0.335506439,,,,FALSE,0.1,TRUE,3,19,80.31582642,,,,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,23.33785629,23.07869911,0.366503596,,,,FALSE,0.1,TRUE,3,20,80.46217346,,,,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,23.48916626,23.37732124,0.158172742,,,,FALSE,0.1,TRUE,3,20,80.31282043,,,,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,23.24854469,23.05669022,0.271323204,,,,FALSE,0.1,TRUE,3,19,80.31321716,,,,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,23.1523571,22.98827171,0.232051775,,,,FALSE,0.1,TRUE,3,19,80.16387939,,,,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,24.31857109,23.90891266,0.579344511,,,,FALSE,0.1,TRUE,3,20,80.31442261,,,,Y,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,23.25620079,22.97974586,0.390966296,,,,FALSE,0.1,TRUE,3,20,80.31442261,,,,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,22.20056152,22.05496979,0.205896452,,,,FALSE,0.1,TRUE,3,19,80.31357574,,,,N,N,N,N
H12,,D,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.04611969,,,,N,N,N,N
