Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate33_7-17-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-17 14:59:07 PM PDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19184113,,,,N,N,Y,N
C11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,37,79.26800537,61.20026016,,,N,N,Y,Y
C12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,79.41732025,71.35403442,,,N,N,Y,Y
D1,Sample 1,B,UNKNOWN,SYBR,None,31.4254837,31.8117733,0.546296,,,,FALSE,0.1,TRUE,3,27,79.11512756,,,,Y,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49225998,,,,N,N,Y,N
D3,Sample 3,B,UNKNOWN,SYBR,None,37.9418602,37.51316071,0.606272638,,,,FALSE,0.1,TRUE,3,34,79.41615295,,,,Y,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,39.58499146,39.51578522,0.097872399,,,,FALSE,0.1,TRUE,3,35,79.26679993,,,,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,29.73149872,29.75663376,0.035547663,,,,FALSE,0.1,TRUE,3,26,78.96833801,,,,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,30.28044891,30.32913017,0.068845697,,,,FALSE,0.1,TRUE,3,27,78.96833801,,,,N,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,29.88769913,29.66389084,0.316512704,,,,FALSE,0.1,TRUE,3,27,78.97026062,,,,N,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,39.6833725,39.26511383,0.591507077,,,,FALSE,0.1,TRUE,3,35,79.11958313,,,,Y,N,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,29.91580582,29.81422234,0.143660739,,,,FALSE,0.1,TRUE,3,26,78.81724548,,,,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34120941,67.31591797,79.86281586,,N,N,Y,Y
D11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,36,79.26800537,,,,N,N,Y,N
D12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,81.80644226,73.14587402,,,N,N,Y,Y
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,,,,N,Y,Y,N
E2,Sample 2,C,UNKNOWN,SYBR,None,32.55805969,32.21828842,0.480510473,,,,FALSE,0.1,TRUE,3,29,80.9072876,,,,N,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,19.44664955,19.48167419,0.049532324,,,,FALSE,0.1,TRUE,3,16,80.90962982,,,,N,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,22.91222382,23.02616119,0.161131784,,,,FALSE,0.1,TRUE,3,20,81.05897522,,,,N,N,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34718704,,,,N,N,Y,N
E6,Sample 6,C,UNKNOWN,SYBR,None,37.05485153,37.05485153,,,,,FALSE,0.1,TRUE,3,34,80.76031494,,,,N,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,36.12339783,35.97744751,0.206404924,,,,FALSE,0.1,TRUE,3,33,80.76216125,,,,N,N,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,32.34140015,31.87887573,0.654106975,,,,FALSE,0.1,TRUE,3,30,80.76216125,,,,Y,N,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34120941,,,,N,N,Y,N
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19184113,66.56908417,,,N,N,Y,Y
