Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate8_7-3-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-03 20:10:47 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
C10,Sample 10,B,UNKNOWN,SYBR,None,25.21923065,25.42598724,0.292397976,,,,FALSE,0.1,TRUE,3,21,78.96878052,,,,N,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,22.65042496,22.71977806,0.098080099,,,,FALSE,0.1,TRUE,3,18,78.96937561,,,,N,N,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,22.34984016,22.34984016,,,,,FALSE,0.1,TRUE,3,18,78.96937561,,,,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,21.50248528,21.24148178,0.369116038,,,,FALSE,0.1,TRUE,3,18,79.11955261,,,,N,N,N,N
D2,Sample 2,B,UNKNOWN,SYBR,None,21.2798214,21.25502396,0.035068877,,,,FALSE,0.1,TRUE,3,17,78.9702301,,,,N,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,31.85285568,31.40544891,0.632730067,,,,FALSE,0.1,TRUE,3,28,79.11724091,,,,Y,N,N,N
D4,Sample 4,B,UNKNOWN,SYBR,None,20.93909264,21.24620438,0.434320241,,,,FALSE,0.1,TRUE,3,16,78.96788025,,,,N,N,N,N
D5,Sample 5,B,UNKNOWN,SYBR,None,22.6994648,22.64808273,0.072665215,,,,FALSE,0.1,TRUE,3,19,79.11782074,,,,N,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,29.53071976,29.67645073,0.206094712,,,,FALSE,0.1,TRUE,3,25,79.26716614,,,,N,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,22.55197716,22.85569382,0.429518878,,,,FALSE,0.1,TRUE,3,18,78.96916199,,,,N,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,39.00389099,39.00389099,,,,,FALSE,0.1,TRUE,3,35,61.49814987,83.59823608,80.91038513,,N,N,N,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,23.66703224,23.56530952,0.143857643,,,,FALSE,0.1,TRUE,3,20,78.96878052,,,,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,25.63274384,25.42598724,0.292397976,,,,FALSE,0.1,TRUE,3,22,78.96878052,,,,N,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,22.78913116,22.71977806,0.098080099,,,,FALSE,0.1,TRUE,3,18,78.96937561,,,,N,N,N,N
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.06784821,,,,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,32.35575104,,,,,FALSE,0.1,TRUE,3,39,69.26371765,61.64783859,,,N,N,Y,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,30.60972214,31.10228729,0.696593642,,,,FALSE,0.1,TRUE,3,27,81.06085968,,,,Y,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,34.45440674,32.87586975,2.232387066,,,,FALSE,0.1,TRUE,3,30,81.05886841,,,,Y,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,30.50998497,32.53500366,2.86380744,,,,FALSE,0.1,TRUE,3,27,81.05886841,,,,Y,N,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,32.91122818,32.37255096,0.761803269,,,,FALSE,0.1,TRUE,3,29,81.05924988,,,,Y,N,N,N
E6,Sample 6,C,UNKNOWN,SYBR,None,33.61957932,33.44394302,0.248387232,,,,FALSE,0.1,TRUE,3,29,80.90991211,,,,N,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,31.96842384,31.63871002,0.466287106,,,,FALSE,0.1,TRUE,3,30,80.91038513,,,,N,N,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,32.95432281,,,,,FALSE,0.1,TRUE,3,39,61.19950104,67.47114563,,,N,N,Y,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,24.14914894,24.06395721,0.120477945,,,,FALSE,0.1,TRUE,3,20,81.06015778,,,,N,N,N,N
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.31682587,61.19207764,,,N,N,Y,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,23.523592,23.58795166,0.091016963,,,,FALSE,0.1,TRUE,3,20,81.06008911,,,,N,N,N,N
E12,Sample 12,C,UNKNOWN,SYBR,None,39.59503937,39.59503937,,,,,FALSE,0.1,TRUE,3,35,81.8067627,61.19838715,68.51585388,,N,N,N,Y
F1,Sample 1,C,UNKNOWN,SYBR,None,32.35575104,32.35575104,,,,,FALSE,0.1,TRUE,3,28,81.06085968,,,,N,N,N,N
F2,Sample 2,C,UNKNOWN,SYBR,None,31.59485435,31.10228729,0.696593642,,,,FALSE,0.1,TRUE,3,28,80.91152954,,,,Y,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,31.29733467,32.87586975,2.232387066,,,,FALSE,0.1,TRUE,3,27,81.20822144,,,,Y,N,N,N
F4,Sample 4,C,UNKNOWN,SYBR,None,34.56002045,32.53500366,2.86380744,,,,FALSE,0.1,TRUE,3,32,81.05886841,,,,Y,N,N,N
F5,Sample 5,C,UNKNOWN,SYBR,None,31.83387566,32.37255096,0.761803269,,,,FALSE,0.1,TRUE,3,27,81.05924988,,,,Y,N,N,N
F6,Sample 6,C,UNKNOWN,SYBR,None,33.26830673,33.44394302,0.248387232,,,,FALSE,0.1,TRUE,3,29,80.90991211,,,,N,N,N,N
F7,Sample 7,C,UNKNOWN,SYBR,None,31.30899429,31.63871002,0.466287106,,,,FALSE,0.1,TRUE,3,28,80.91038513,,,,N,N,N,N
F8,Sample 8,C,UNKNOWN,SYBR,None,32.95432281,32.95432281,,,,,FALSE,0.1,TRUE,3,29,80.61173248,,,,N,N,N,N
F9,Sample 9,C,UNKNOWN,SYBR,None,23.9787674,24.06395721,0.120477945,,,,FALSE,0.1,TRUE,3,20,81.06015778,,,,N,N,N,N
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.46620941,61.34146118,,,N,Y,Y,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,23.65230942,23.58795166,0.091016963,,,,FALSE,0.1,TRUE,3,21,81.06008911,,,,N,N,N,N
F12,,C,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.51585388,,,,N,N,N,N
G1,Sample 1,D,UNKNOWN,SYBR,None,24.39456367,24.68665695,0.413080931,,,,FALSE,0.1,TRUE,3,20,80.46353149,,,,N,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,29.72614861,30.19378853,0.66134274,,,,FALSE,0.1,TRUE,3,26,80.16487122,,,,Y,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,20.57659912,20.62009811,0.061516866,,,,FALSE,0.1,TRUE,3,16,80.46144104,,,,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,33.71208191,33.71208191,,,,,FALSE,0.1,TRUE,3,29,80.01337433,,,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,21.18175507,21.45491791,0.386311948,,,,FALSE,0.1,TRUE,3,17,80.46188354,,,,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,20.58028603,20.6288929,0.068740502,,,,FALSE,0.1,TRUE,3,16,80.31254578,,,,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,28.58754158,28.86090279,0.386591136,,,,FALSE,0.1,TRUE,3,25,80.01443481,,,,N,N,N,N
