Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Desktop\IngL_qPCR\Urbanpopgen_Plate79_3-30-24.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-03-30 13:04:50 PM EDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,EXPFAIL
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
E10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
E11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y
E12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F10,Sample 10,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F11,Sample 11,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
F12,Sample 12,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G1,Sample 1,D,UNKNOWN,SYBR,None,24.83474922,24.83474922,,,,,FALSE,0.1,TRUE,3,21,,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G3,Sample 3,D,UNKNOWN,SYBR,None,22.55289268,22.47139931,0.115249038,,,,FALSE,0.1,TRUE,3,19,,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G10,Sample 10,D,UNKNOWN,SYBR,None,Undetermined,32.23501205,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
G11,Sample 11,D,UNKNOWN,SYBR,None,22.64317322,22.64317322,,,,,FALSE,0.1,TRUE,3,19,,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,24.41314316,24.41314316,,,,,FALSE,0.1,TRUE,3,20,,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,24.83474922,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
H2,Sample 2,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
H3,Sample 3,D,UNKNOWN,SYBR,None,22.38990593,22.47139931,0.115249038,,,,FALSE,0.1,TRUE,3,19,,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
H5,Sample 5,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
H6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
H7,Sample 7,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
H8,Sample 8,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
H9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
H10,Sample 10,D,UNKNOWN,SYBR,None,32.23501205,32.23501205,,,,,FALSE,0.1,TRUE,3,28,,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,22.64317322,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
H12,Sample 12,D,UNKNOWN,SYBR,None,Undetermined,24.41314316,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
