Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate41_1-17-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-17 12:33:01 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,EXPFAIL,MTP
C7,Sample 7,B,UNKNOWN,SYBR,None,23.55329514,23.55329514,,,,,FALSE,0.1,TRUE,3,8,,,,,N,N,N,N,N,N,N
C8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49152374,78.36722565,,,N,N,N,N,N,Y,Y
C9,Sample 9,B,UNKNOWN,SYBR,None,28.80351448,30.63100815,2.584467649,,,,FALSE,0.1,TRUE,3,25,78.8184433,,,,N,Y,N,N,N,N,N
C10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,33.19440842,,,,,FALSE,0.1,TRUE,3,37,61.34547424,91.51248169,,,N,N,N,N,N,Y,Y
C11,Sample 11,B,UNKNOWN,SYBR,None,33.48037338,33.59339905,0.159842432,,,,FALSE,0.1,TRUE,3,29,78.66944122,,,,N,N,N,N,N,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,32.26938248,,,,,FALSE,0.1,TRUE,3,36,78.66944122,,,,N,N,N,N,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,36.21156693,36.21156693,,,,,FALSE,0.1,TRUE,3,33,84.04670715,80.31330872,,,N,N,N,N,N,N,Y
D2,Sample 2,B,UNKNOWN,SYBR,None,33.65150833,33.65150833,,,,,FALSE,0.1,TRUE,3,30,79.26795197,,,,N,N,N,N,N,N,N
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.49567032,,,,N,N,N,N,N,Y,N
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.61849976,,,,N,N,N,N,N,Y,N
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34130859,67.01686096,,,N,N,N,N,N,Y,Y
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,67.76364899,62.83487701,,,N,N,Y,N,N,Y,Y
D7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,23.55329514,,,,,FALSE,0.1,TRUE,3,38,78.51657104,61.19284058,,,N,N,N,N,N,Y,Y
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19284058,78.36722565,,,N,N,N,N,N,Y,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,32.45850372,30.63100815,2.584467649,,,,FALSE,0.1,TRUE,3,28,78.6690979,,,,N,Y,N,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,33.19440842,33.19440842,,,,,FALSE,0.1,TRUE,3,29,78.6690979,,,,N,N,N,N,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,33.70642471,33.59339905,0.159842432,,,,FALSE,0.1,TRUE,3,29,78.96817017,,,,N,N,N,N,N,N,N
D12,Sample 12,B,UNKNOWN,SYBR,None,32.26938248,32.26938248,,,,,FALSE,0.1,TRUE,3,27,78.81880188,,,,N,N,N,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,28.36397171,28.00242996,0.511297226,,,,TRUE,0.612582629,TRUE,3,22,81.0599823,,,,N,Y,N,N,N,N,N
