Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate39_1-16-24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-16 14:02:53 PM PST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
C10,Sample 10,B,UNKNOWN,SYBR,None,35.82375717,35.82375717,,,,,FALSE,0.1,TRUE,3,32,81.20994568,,,,N,N,N,N
C11,Sample 11,B,UNKNOWN,SYBR,None,20.86165428,20.62974548,0.327967227,,,,FALSE,0.1,TRUE,3,17,78.66654968,,,,N,N,N,N
C12,Sample 12,B,UNKNOWN,SYBR,None,38.11529922,36.35920334,2.48349452,,,,FALSE,0.1,TRUE,3,32,76.12775421,,,,Y,N,N,N
D1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.94464874,,,,N,N,Y,N
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,32.74065018,,,,,FALSE,0.1,TRUE,3,39,61.19786072,68.5164032,72.69842529,,N,N,Y,Y
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,68.06772614,61.19802856,,,N,Y,Y,Y
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,,,,N,N,Y,N
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34328842,,,,N,N,Y,N
D6,Sample 6,B,UNKNOWN,SYBR,None,31.18345261,30.8133316,0.52343148,,,,FALSE,0.1,TRUE,3,27,79.41383362,,,,Y,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,31.33546257,32.00519943,0.947152317,,,,FALSE,0.1,TRUE,3,29,79.12019348,,,,Y,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,81.65968323,73.29429626,,,N,N,Y,Y
D9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,34.18673706,,,,,FALSE,0.1,TRUE,3,35,73.29508972,,,,N,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,35.82375717,,,,,FALSE,0.1,TRUE,3,39,73.14575195,79.86590576,,,N,N,Y,Y
D11,Sample 11,B,UNKNOWN,SYBR,None,20.39783859,20.62974548,0.327967227,,,,FALSE,0.1,TRUE,3,17,78.51721191,,,,N,N,N,N
D12,Sample 12,B,UNKNOWN,SYBR,None,34.60310745,36.35920334,2.48349452,,,,FALSE,0.1,TRUE,3,29,79.26391602,,,,Y,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,23.54356956,23.31800079,0.319003761,,,,TRUE,0.175736197,TRUE,3,18,81.21182251,,,,N,N,N,N
E2,Sample 2,C,UNKNOWN,SYBR,None,22.03041267,22.02532196,0.007200705,,,,TRUE,0.175736197,TRUE,3,17,81.06246948,,,,N,N,N,N
E3,Sample 3,C,UNKNOWN,SYBR,None,23.04956245,23.50325394,0.641616642,,,,TRUE,0.175736197,TRUE,3,18,81.20974731,,,,Y,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,24.45554352,24.49833679,0.060517479,,,,TRUE,0.175736197,TRUE,3,20,81.20974731,,,,N,N,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,23.21363258,23.89020157,0.956813037,,,,TRUE,0.175736197,TRUE,3,18,81.20595551,,,,Y,N,N,N
E6,Sample 6,C,UNKNOWN,SYBR,None,25.2458744,28.27194977,4.279515266,,,,TRUE,0.175736197,TRUE,3,20,81.05661011,,,,Y,N,N,N
E7,Sample 7,C,UNKNOWN,SYBR,None,20.46090317,23.51845741,4.324034691,,,,TRUE,0.175736197,TRUE,3,16,81.06215668,,,,Y,N,N,N
E8,Sample 8,C,UNKNOWN,SYBR,None,22.68772888,25.31503868,3.715577126,,,,TRUE,0.175736197,TRUE,3,17,81.06215668,,,,Y,N,N,N
E9,Sample 9,C,UNKNOWN,SYBR,None,21.79584122,21.94036865,0.204392657,,,,TRUE,0.175736197,TRUE,3,17,81.06060791,,,,N,N,N,N
E10,Sample 10,C,UNKNOWN,SYBR,None,22.25371361,22.23204803,0.030638399,,,,TRUE,0.175736197,TRUE,3,17,80.91127014,,,,N,N,N,N
E11,Sample 11,C,UNKNOWN,SYBR,None,31.86484146,32.13428497,0.381047964,,,,TRUE,0.175736197,TRUE,3,28,80.30931091,,,,N,N,N,N
E12,Sample 12,C,UNKNOWN,SYBR,None,22.44744301,22.20319366,0.345419377,,,,TRUE,0.175736197,TRUE,3,16,81.05601501,,,,N,N,N,N
F1,Sample 1,C,UNKNOWN,SYBR,None,23.09243011,23.31800079,0.319003761,,,,TRUE,0.175736197,TRUE,3,18,81.06246948,,,,N,N,N,N
F2,Sample 2,C,UNKNOWN,SYBR,None,22.02022934,22.02532196,0.007200705,,,,TRUE,0.175736197,TRUE,3,17,81.06246948,,,,N,N,N,N
F3,Sample 3,C,UNKNOWN,SYBR,None,23.95694542,23.50325394,0.641616642,,,,TRUE,0.175736197,TRUE,3,19,81.35909271,,,,Y,N,N,N
