Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate58-1-24-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-24 16:51:37 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
D5,Sample 5,B,UNKNOWN,SYBR,None,20.74204254,20.88640594,0.20416069,,,,FALSE,0.1,TRUE,3,17,,N,N,N
D6,Sample 6,B,UNKNOWN,SYBR,None,21.87138939,21.83870316,0.046225313,,,,FALSE,0.1,TRUE,3,19,,N,N,N
D7,Sample 7,B,UNKNOWN,SYBR,None,23.24101639,23.24101639,,,,,FALSE,0.1,TRUE,3,19,,N,N,N
D8,Sample 8,B,UNKNOWN,SYBR,None,19.9816494,20.08211899,0.142086804,,,,FALSE,0.1,TRUE,3,17,,N,N,N
D9,Sample 9,B,UNKNOWN,SYBR,None,21.96224594,22.22463608,0.37107569,,,,FALSE,0.1,TRUE,3,19,,N,N,N
D10,Sample 10,B,UNKNOWN,SYBR,None,21.77731705,21.75073624,0.037590943,,,,FALSE,0.1,TRUE,3,18,,N,N,N
D11,Sample 11,B,UNKNOWN,SYBR,None,21.63050461,21.65499306,0.034631897,,,,FALSE,0.1,TRUE,3,18,,N,N,N
D12,,B,NTC,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
E2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,28.75876236,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
E3,Sample 3,C,UNKNOWN,SYBR,None,22.33813286,22.35729599,0.027102109,,,,FALSE,0.1,TRUE,3,19,,N,N,N
E4,Sample 4,C,UNKNOWN,SYBR,None,26.74008751,27.05234909,0.441603214,,,,FALSE,0.1,TRUE,3,23,,N,N,N
E5,Sample 5,C,UNKNOWN,SYBR,None,32.19660568,32.94639969,1.060368896,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
