Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate12_7-6-23.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-06 14:04:37 PM PDT,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOISE,EXPFAIL,MTP
A1,Sample 1,A,UNKNOWN,SYBR,None,33.93360138,33.3874054,0.772435069,,,,FALSE,0.1,TRUE,3,30,82.55402374,,,,N,Y,N,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,29.17623711,28.57002449,0.85731411,,,,FALSE,0.1,TRUE,3,25,84.79401398,,,,N,Y,N,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,Undetermined,36.24292374,,,,,FALSE,0.1,TRUE,3,38,74.19273376,,,,N,N,N,N,Y,N
A4,Sample 4,A,UNKNOWN,SYBR,None,29.98183823,30.1066227,0.176471889,,,,FALSE,0.1,TRUE,3,27,87.18452454,,,,N,N,N,N,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,30.32766724,30.43907928,0.157559082,,,,FALSE,0.1,TRUE,3,27,85.09325409,,,,N,N,N,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,33.47783279,33.17864227,0.423119307,,,,FALSE,0.1,TRUE,3,30,85.09325409,,,,N,N,N,N,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,30.1057148,30.40074921,0.417240322,,,,FALSE,0.1,TRUE,3,27,87.18315887,82.10446167,,,N,N,N,N,N,Y
A8,Sample 8,A,UNKNOWN,SYBR,None,30.88533974,32.92167282,2.879808426,,,,FALSE,0.1,TRUE,3,27,86.43629456,81.95509338,,,N,Y,N,N,N,Y
A9,Sample 9,A,UNKNOWN,SYBR,None,30.41342354,30.12392998,0.409405708,,,,FALSE,0.1,TRUE,3,27,86.13531494,,,,N,N,N,N,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,31.7177887,31.7505455,0.046325117,,,,FALSE,0.1,TRUE,3,28,87.32997131,81.80466461,,,N,N,N,N,N,Y
