Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate3_6-30-23.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-06-30 15:24:30 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,21.92818451,21.6697731,0.365447581,,,,FALSE,0.1,TRUE,3,16,,Y,N,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,21.74415016,20.94173622,1.134784698,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,23.13370895,21.87146378,1.785084248,,,,FALSE,0.1,TRUE,3,19,,N,Y,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,22.15992165,21.04648018,1.57464397,,,,FALSE,0.1,TRUE,3,19,,N,Y,N,N
A5,Sample 5,A,UNKNOWN,SYBR,None,20.68782806,20.17745399,0.721777916,,,,FALSE,0.1,TRUE,3,15,,N,Y,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,20.52801132,21.36556625,1.18448019,,,,FALSE,0.1,TRUE,3,17,,N,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,20.85943031,22.41695023,2.202667236,,,,FALSE,0.1,TRUE,3,17,,N,Y,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,20.70044708,22.91630554,3.133695841,,,,FALSE,0.1,TRUE,3,16,,N,Y,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,20.82496643,21.70951653,1.250942707,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,21.64440536,21.02617645,0.874306381,,,,FALSE,0.1,TRUE,3,18,,N,Y,N,N
