Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate52_1-22-24.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-22 17:03:00 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOISE,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,30.60279274,30.06855202,0.755530477,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
A2,Sample 2,A,UNKNOWN,SYBR,None,31.73356056,31.56445694,0.239148632,,,,FALSE,0.1,TRUE,3,29,,N,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,35.62676239,34.80745697,1.158675551,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
A4,Sample 4,A,UNKNOWN,SYBR,None,Undetermined,36.59362411,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A5,Sample 5,A,UNKNOWN,SYBR,None,31.23034668,30.94843674,0.398680866,,,,FALSE,0.1,TRUE,3,27,,N,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,37.9151535,38.59813309,0.965878963,,,,FALSE,0.1,TRUE,3,34,,Y,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,38.41880417,38.16387939,0.36052078,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,37.26266479,37.3554306,0.131193355,,,,FALSE,0.1,TRUE,3,34,,N,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,39.43247986,37.6136055,2.572276831,,,,FALSE,0.1,TRUE,3,35,,Y,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,30.3959713,34.14281464,5.298838139,,,,FALSE,0.1,TRUE,3,27,,Y,N,N
A11,Sample 11,A,UNKNOWN,SYBR,None,35.86198807,37.09904099,1.749457002,,,,FALSE,0.1,TRUE,3,32,,Y,N,N
A12,Sample 12,A,UNKNOWN,SYBR,None,34.50336838,35.23504639,1.034748912,,,,FALSE,0.1,TRUE,3,31,,Y,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,29.53431129,30.06855202,0.755530477,,,,FALSE,0.1,TRUE,3,26,,Y,Y,N
B2,Sample 2,A,UNKNOWN,SYBR,None,31.39535332,31.56445694,0.239148632,,,,FALSE,0.1,TRUE,3,28,,N,N,N
