Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate29_7-13-23.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-13 15:23:07 PM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,Sample 1,A,UNKNOWN,SYBR,None,31.48646927,30.67515945,1.147366643,,,,FALSE,0.1,TRUE,3,28,,Y,N
A2,Sample 2,A,UNKNOWN,SYBR,None,27.9715023,27.85290527,0.167722881,,,,FALSE,0.1,TRUE,3,24,,N,N
A3,Sample 3,A,UNKNOWN,SYBR,None,28.17990875,27.73357773,0.631206036,,,,FALSE,0.1,TRUE,3,25,,Y,N
A4,Sample 4,A,UNKNOWN,SYBR,None,33.43214035,35.1803093,2.472284317,,,,FALSE,0.1,TRUE,3,30,,Y,N
A5,Sample 5,A,UNKNOWN,SYBR,None,27.28244209,27.34020996,0.081694752,,,,FALSE,0.1,TRUE,3,23,,N,N
A6,Sample 6,A,UNKNOWN,SYBR,None,22.94868088,22.73419571,0.30332917,,,,FALSE,0.1,TRUE,3,20,,N,N
A7,Sample 7,A,UNKNOWN,SYBR,None,29.77920341,30.01590919,0.33475253,,,,FALSE,0.1,TRUE,3,26,,N,N
A8,Sample 8,A,UNKNOWN,SYBR,None,30.41183853,30.09743118,0.444637775,,,,FALSE,0.1,TRUE,3,27,,N,N
A9,Sample 9,A,UNKNOWN,SYBR,None,21.83018112,22.10407066,0.38733831,,,,FALSE,0.1,TRUE,3,20,,N,N
A10,Sample 10,A,UNKNOWN,SYBR,None,32.91147614,31.85614777,1.492459655,,,,FALSE,0.1,TRUE,3,30,,Y,N
A11,Sample 11,A,UNKNOWN,SYBR,None,30.17856979,29.74919128,0.607231557,,,,FALSE,0.1,TRUE,3,27,,Y,N
A12,Sample 12,A,UNKNOWN,SYBR,None,30.65365791,30.54977226,0.146916494,,,,FALSE,0.1,TRUE,3,26,,N,N
B1,Sample 1,A,UNKNOWN,SYBR,None,29.86384773,30.67515945,1.147366643,,,,FALSE,0.1,TRUE,3,26,,Y,N
B2,Sample 2,A,UNKNOWN,SYBR,None,27.73430634,27.85290527,0.167722881,,,,FALSE,0.1,TRUE,3,24,,N,N
B3,Sample 3,A,UNKNOWN,SYBR,None,27.28724861,27.73357773,0.631206036,,,,FALSE,0.1,TRUE,3,24,,Y,N
B4,Sample 4,A,UNKNOWN,SYBR,None,36.92847824,35.1803093,2.472284317,,,,FALSE,0.1,TRUE,3,33,,Y,N
B5,Sample 5,A,UNKNOWN,SYBR,None,27.39797592,27.34020996,0.081694752,,,,FALSE,0.1,TRUE,3,25,,N,N
B6,Sample 6,A,UNKNOWN,SYBR,None,22.51970863,22.73419571,0.30332917,,,,FALSE,0.1,TRUE,3,19,,N,N
B7,Sample 7,A,UNKNOWN,SYBR,None,30.25261497,30.01590919,0.33475253,,,,FALSE,0.1,TRUE,3,26,,N,N
B8,Sample 8,A,UNKNOWN,SYBR,None,29.78302574,30.09743118,0.444637775,,,,FALSE,0.1,TRUE,3,27,,N,N
B9,Sample 9,A,UNKNOWN,SYBR,None,22.37796021,22.10407066,0.38733831,,,,FALSE,0.1,TRUE,3,19,,N,N
B10,Sample 10,A,UNKNOWN,SYBR,None,30.8008194,31.85614777,1.492459655,,,,FALSE,0.1,TRUE,3,27,,Y,N
B11,Sample 11,A,UNKNOWN,SYBR,None,29.31981468,29.74919128,0.607231557,,,,FALSE,0.1,TRUE,3,26,,Y,N
B12,Sample 12,A,UNKNOWN,SYBR,None,30.44588661,30.54977226,0.146916494,,,,FALSE,0.1,TRUE,3,26,,N,N
C1,Sample 1,B,UNKNOWN,SYBR,None,25.86473083,26.02753448,0.230239123,,,,FALSE,0.1,TRUE,3,22,,N,N
C2,Sample 2,B,UNKNOWN,SYBR,None,25.13055611,24.99390602,0.1932524,,,,FALSE,0.1,TRUE,3,21,,N,N
C3,Sample 3,B,UNKNOWN,SYBR,None,22.96055412,22.63224792,0.464295089,,,,FALSE,0.1,TRUE,3,20,,N,N
C4,Sample 4,B,UNKNOWN,SYBR,None,24.51625824,24.36513138,0.213727012,,,,FALSE,0.1,TRUE,3,21,,N,N
C5,Sample 5,B,UNKNOWN,SYBR,None,24.44082642,25.50598907,1.49,,,,FALSE,0.1,TRUE,3,21,,Y,N
