Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 17:22:23 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
C4,Sample 4,A,UNKNOWN,FAM,NFQ-MGB,33.00725555,33.00725555,,,,,FALSE,0.01,TRUE,3,32,,N,N,N,N
C5,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,34.64742661,34.20659256,0.623433471,,,,FALSE,0.1,TRUE,3,30,,N,Y,N,N
C6,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.24842834,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,N,Y
C6,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,24.83839607,25.02308655,0.261191785,,,,TRUE,0.174224667,TRUE,3,20,,N,N,N,Y
C7,Sample 5,A,UNKNOWN,FAM,NFQ-MGB,22.76844215,23.43676376,0.945149481,,,,FALSE,0.01,TRUE,3,22,,N,Y,N,N
C8,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,28.60570908,28.36010742,0.347331852,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
C9,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,28.15279961,27.94392395,0.295393437,,,,TRUE,0.018342163,TRUE,3,26,,N,N,N,N
C9,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,29.2736187,29.23149872,0.059566647,,,,TRUE,0.174224667,TRUE,3,25,,N,N,N,N
C10,Sample 5,A,UNKNOWN,FAM,NFQ-MGB,24.10508537,23.43676376,0.945149481,,,,FALSE,0.01,TRUE,3,23,,N,Y,N,N
C11,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,28.11450768,28.36010742,0.347331852,,,,FALSE,0.1,TRUE,3,24,,N,N,N,N
C12,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,27.7350502,27.94392395,0.295393437,,,,TRUE,0.018342163,TRUE,3,26,,N,N,N,N
C12,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,29.18937874,29.23149872,0.059566647,,,,TRUE,0.174224667,TRUE,3,24,,N,N,N,N
D1,Sample 6,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
D2,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D3,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,Y,Y
D3,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,25.55099106,25.71606827,0.233455777,,,,TRUE,0.174224667,TRUE,3,21,,N,N,Y,Y
D4,Sample 6,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
D5,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D6,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,N,Y
D6,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,25.88114738,25.71606827,0.233455777,,,,TRUE,0.174224667,TRUE,3,20,,N,N,N,Y
D7,Sample 7,A,UNKNOWN,FAM,NFQ-MGB,36.69356537,37.35477448,0.935093582,,,,FALSE,0.01,TRUE,3,29,,N,Y,Y,N
D8,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D9,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,Y,Y
D9,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,25.01091194,25.18903351,0.251903296,,,,TRUE,0.174224667,TRUE,3,20,,N,N,Y,Y
D10,Sample 7,A,UNKNOWN,FAM,NFQ-MGB,38.0159874,37.35477448,0.935093582,,,,FALSE,0.01,TRUE,3,39,,N,Y,Y,Y
D11,Sample 7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
D12,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,Y,Y
D12,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,25.36715698,25.18903351,0.251903296,,,,TRUE,0.174224667,TRUE,3,21,,N,N,Y,Y
E1,Sample 8,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
E2,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E3,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,N,Y
E3,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,24.33327293,24.34045029,0.01015031,,,,TRUE,0.174224667,TRUE,3,19,,N,N,N,Y
E4,Sample 8,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
E5,Sample 8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,N,Y
E6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,24.34762764,24.34045029,0.01015031,,,,TRUE,0.174224667,TRUE,3,19,,N,N,N,Y
E7,Sample 9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
E8,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,36.27895737,36.27895737,,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
E9,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,N,Y
E9,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,26.44361305,26.48852921,0.063519686,,,,TRUE,0.174224667,TRUE,3,21,,N,N,N,Y
E10,Sample 9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
E11,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.27895737,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E12,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.018342163,TRUE,3,39,,N,N,Y,Y
E12,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,26.53344345,26.48852921,0.063519686,,,,TRUE,0.174224667,TRUE,3,21,,N,N,Y,Y
F1,Sample 10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y
F2,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,26.32926369,26.58177567,0.357105851,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
F3,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,36.29893875,36.29893875,,,,,TRUE,0.018342163,TRUE,3,34,,N,N,Y,Y
F3,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.174224667,TRUE,3,39,,N,N,Y,Y
