fileID,sampleID,region,site,latitude,longitude,depthft,depthm,species,notes,permit,date
PSTR_urban_034.trim.un.bt2.bam,urban_034,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Pstr,rescue,rescue,7/26/22
PSTR_urban_063_2.trim.un.bt2.bam,urban_063_2,Broward reef,BC1,26.14758,-80.0961,19,5.8,Pstr,,SAL,8/24/22
PSTR_urban_063_3.trim.un.bt2.bam,urban_063_3,Broward reef,BC1,26.14758,-80.0961,19,5.8,Pstr,,SAL,8/24/22
PSTR_urban_063.trim.un.bt2.bam,urban_063,Broward reef,BC1,26.14758,-80.0961,19,5.8,Pstr,,SAL,8/24/22
PSTR_urban_086.trim.un.bt2.bam,urban_086,Miami reef,Emerald Reef,25.67735,-80.09738,26,7.9,Pstr,,SAL,10/26/22
PSTR_urban_090_2.trim.un.bt2.bam,urban_090_2,Miami reef,Emerald Reef,25.67735,-80.09738,25,7.6,Pstr,,SAL,10/26/22
PSTR_urban_090_3.trim.un.bt2.bam,urban_090_3,Miami reef,Emerald Reef,25.67735,-80.09738,25,7.6,Pstr,,SAL,10/26/22
PSTR_urban_090.trim.un.bt2.bam,urban_090,Miami reef,Emerald Reef,25.67735,-80.09738,25,7.6,Pstr,,SAL,10/26/22
PSTR_urban_107.trim.un.bt2.bam,urban_107,Miami reef,Rainbow Reef,25.69,-80.097,18,5.5,Pstr,,SAL,10/26/22
PSTR_urban_108.trim.un.bt2.bam,urban_108,Miami reef,Rainbow Reef,25.69,-80.097,18,5.5,Pstr,,SAL,10/26/22
PSTR_urban_109.trim.un.bt2.bam,urban_109,Miami reef,Rainbow Reef,25.69,-80.097,22,6.7,Pstr,,SAL,10/26/22
PSTR_urban_111.trim.un.bt2.bam,urban_111,Miami reef,Rainbow Reef,25.69,-80.097,20,6.1,Pstr,,SAL,10/26/22
PSTR_urban_161.trim.un.bt2.bam,urban_161,Miami urban,Star Island,25.77477,-80.14886,8,2.4,Pstr,rescue,rescue,10/27/22
PSTR_urban_173.trim.un.bt2.bam,urban_173,Miami reef,Emerald Reef,25.67735,-80.09738,24.6,7.5,Pstr,,SAL,1/26/23
PSTR_urban_212.trim.un.bt2.bam,urban_212,Miami urban,Belle Isle,25.789085,-80.147745,3,0.9,Pstr,,SAL,4/4/23
PSTR_urban_215.trim.un.bt2.bam,urban_215,Miami urban,Belle Isle,25.789085,-80.147745,2,0.6,Pstr,,SAL,4/4/23
PSTR_urban_216_2.trim.un.bt2.bam,urban_216_2,Miami urban,Belle Isle,25.789085,-80.147745,1,0.3,Pstr,,SAL,4/4/23
PSTR_urban_216_3.trim.un.bt2.bam,urban_216_3,Miami urban,Belle Isle,25.789085,-80.147745,1,0.3,Pstr,,SAL,4/4/23
PSTR_urban_216.trim.un.bt2.bam,urban_216,Miami urban,Belle Isle,25.789085,-80.147745,1,0.3,Pstr,,SAL,4/4/23
PSTR_urban_217.trim.un.bt2.bam,urban_217,Miami urban,Belle Isle,25.789085,-80.147745,2,0.6,Pstr,,SAL,4/4/23
PSTR_urban_218.trim.un.bt2.bam,urban_218,Miami urban,Belle Isle,25.789085,-80.147745,3,0.9,Pstr,,SAL,4/4/23
PSTR_urban_219.trim.un.bt2.bam,urban_219,Miami urban,Belle Isle,25.789085,-80.147745,2,0.6,Pstr,,SAL,4/4/23
PSTR_urban_220.trim.un.bt2.bam,urban_220,Miami urban,Belle Isle,25.789085,-80.147745,3,0.9,Pstr,,SAL,4/4/23
PSTR_urban_223.trim.un.bt2.bam,urban_223,Miami urban,Belle Isle,25.789085,-80.147745,2,0.6,Pstr,,SAL,4/4/23
PSTR_urban_225.trim.un.bt2.bam,urban_225,Miami urban,Belle Isle,25.789085,-80.147745,2,0.6,Pstr,,SAL,4/4/23
PSTR_urban_227.trim.un.bt2.bam,urban_227,Miami urban,Belle Isle,25.789085,-80.147745,3,0.9,Pstr,,SAL,4/4/23
PSTR_urban_229.trim.un.bt2.bam,urban_229,Miami urban,Belle Isle,25.789085,-80.147745,2,0.6,Pstr,,SAL,4/4/23
PSTR_urban_232.trim.un.bt2.bam,urban_232,Miami urban,Belle Isle,25.789085,-80.147745,3.9,1.2,Pstr,,SAL,4/4/23
PSTR_urban_234.trim.un.bt2.bam,urban_234,Miami urban,Belle Isle,25.789085,-80.147745,3.3,1,Pstr,,SAL,4/4/23
