fileID,sampleID,region,site,latitude,longitude,depthft,depthm,species,notes,permit,date
MCAV_urban_622.trim.un.bt2.bam,urban_622,Miami urban,Fisher Island,25.75571,-80.14168,4,1.2,Mcav,,SAL,1/26/24
MCAV_urban_629.trim.un.bt2.bam,urban_629,Palm Beach urban,Peanut Island,26.77153,-80.04421,5,1.5,Mcav,,SAL,1/30/24
MCAV_urban_630.trim.un.bt2.bam,urban_630,Palm Beach urban,Peanut Island,26.77153,-80.04421,6,1.8,Mcav,,SAL,1/30/24
MCAV_urban_635.trim.un.bt2.bam,urban_635,Palm Beach urban,Peanut Island,26.77153,-80.04421,4,1.2,Mcav,,SAL,1/30/24
MCAV_urban_636.trim.un.bt2.bam,urban_636,Palm Beach urban,Peanut Island,26.77153,-80.04421,6,1.8,Mcav,,SAL,1/30/24
MCAV_urban_637.trim.un.bt2.bam,urban_637,Palm Beach urban,Peanut Island,26.77153,-80.04421,6,1.8,Mcav,,SAL,1/30/24
MCAV_urban_645.trim.un.bt2.bam,urban_645,Miami urban,Fisher Island,25.75571,-80.14168,3,0.9,Mcav,,SAL,1/26/24
MCAV_urban_657.trim.un.bt2.bam,urban_657,Miami urban,Fisher Island,25.75571,-80.14168,,,Mcav,mislabeled as urban_531,SAL,1/26/24
MCAV_urban_667.trim.un.bt2.bam,urban_667,Palm Beach urban,Peanut Island,26.77153,-80.04421,6,1.8,Mcav,,SAL,1/30/24
MCAV_urban_675.trim.un.bt2.bam,urban_675,Palm Beach urban,Peanut Island,26.77153,-80.04421,5,1.5,Mcav,,SAL,1/30/24
MCAV_urban_681.trim.un.bt2.bam,urban_681,North Miami urban,FIU Biscayne Bay,25.90614,-80.13507,8,2.4,Mcav,,SAL,1/31/24
MCAV_urban_682.trim.un.bt2.bam,urban_682,North Miami urban,FIU Biscayne Bay,25.90614,-80.13507,8,2.4,Mcav,,SAL,1/31/24
MCAV_urban_683.trim.un.bt2.bam,urban_683,North Miami urban,FIU Biscayne Bay,25.90614,-80.13507,8,2.4,Mcav,,SAL,1/31/24
MCAV_urban_699.trim.un.bt2.bam,urban_699,North Miami urban,FIU Biscayne Bay,25.90614,-80.13507,7,2.1,Mcav,,SAL,1/31/24
MCAV_urban_708.trim.un.bt2.bam,urban_708,North Miami urban,Arch Creek,25.9005,-80.14228,9,2.7,Mcav,,SAL,1/31/24
