Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\UrbanCoral\UrbanPopgen_Plate7_7-3-23.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2023-07-03 16:22:41 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,BADROX,HIGHSD,EXPFAIL,,,
D1,Sample 1,B,UNKNOWN,SYBR,None,1.322240353,17.42508888,22.7728672,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y,,,
D2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
D3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
D4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
D5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
D6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,1.369864941,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
D7,Sample 7,B,UNKNOWN,SYBR,None,38.1892395,38.1892395,,,,,FALSE,0.1,TRUE,3,36,,N,N,N,N,,,
D8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
D9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N,,,
D10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,35.58065033,,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N,,,
D11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y,,,
D12,Sample 12,B,UNKNOWN,SYBR,None,22.34984016,12.12302184,14.46290517,,,,FALSE,0.1,TRUE,3,18,78.96937561,,,,N,N,N,N
E1,Sample 1,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
E2,Sample 2,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
E3,Sample 3,C,UNKNOWN,SYBR,None,Undetermined,14.94155693,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
E4,Sample 4,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
E5,Sample 5,C,UNKNOWN,SYBR,None,Undetermined,17.91785812,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
E6,Sample 6,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
E7,Sample 7,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
E8,Sample 8,C,UNKNOWN,SYBR,None,Undetermined,16.96919632,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
E9,Sample 9,C,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.033606477,TRUE,3,39,,N,N,N,Y,,,
